youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
Djo - End Of Beginning (Lyrics),Dan Music,2024-02-27T13:55:19Z,66242307,413723,https://www.youtube.com/watch?v=B3Z4XGAxJB0,Dan Music
Enemies,Post Malone - Topic,2019-09-06T04:43:36Z,42204903,321845,https://www.youtube.com/watch?v=qT_y5Yc8jSA,Post Malone - Topic
Moving and Cut - Escape [Official Lyric Video],Moving and Cut,2018-06-20T14:00:00Z,12970404,75780,https://www.youtube.com/watch?v=-q5n6-EQPuc,Moving and Cut
"RAYE, 070 Shake - Escapism. (Official Music Video)",RayeVEVO,2022-11-09T17:00:11Z,175358147,1556123,https://www.youtube.com/watch?v=Dll6VJ2C7wo,RayeVEVO
Sabrina Carpenter - Espresso (Official Video),SabrinaCarpenterVEVO,2024-04-12T14:00:07Z,299303303,2869481,https://www.youtube.com/watch?v=eVli-tstM5E,SabrinaCarpenterVEVO
BTS (방탄소년단) 'Euphoria : Theme of LOVE YOURSELF 起 Wonder',HYBE LABELS,2018-04-05T15:00:05Z,116803799,7158477,https://www.youtube.com/watch?v=kX0vO4vlJuU,HYBE LABELS
NIKI - Every Summertime (Visualizer),NIKI,2021-08-10T06:07:04Z,48915948,559764,https://www.youtube.com/watch?v=OXtZfPZIex4,NIKI
Ariana Grande ft. Future - Everyday (Official Lyric Video),ArianaGrandeVevo,2017-02-01T14:00:04Z,277231031,2352389,https://www.youtube.com/watch?v=LELFIuhSPCI,ArianaGrandeVevo
Mark Tuan - Everyone Else Fades (Official Music Video),Mark Tuan,2023-09-01T04:00:11Z,4503464,152015,https://www.youtube.com/watch?v=S9EQvgy8hRo,Mark Tuan
ANATOMY RABBIT - ธรรมดาแสนพิเศษ | Extraordinary (Official Audio),Anatomy Rabbit,2020-12-08T09:45:01Z,107627208,684437,https://www.youtube.com/watch?v=h2VIUdst5y4,Anatomy Rabbit
"TWICE ""FANCY"" M/V",JYP Entertainment,2019-04-22T08:59:58Z,651566001,6457711,https://www.youtube.com/watch?v=kOHB85vDuow,JYP Entertainment
LE SSERAFIM FEARLESS OFFICIAL M/V,HYBE LABELS,2022-05-02T08:58:13Z,195006392,2555808,https://www.youtube.com/watch?v=4vbDFu0PUew,HYBE LABELS
ENHYPEN (엔하이픈) 'FEVER' Official MV,HYBE LABELS,2021-05-19T15:00:00Z,122731019,4139266,https://www.youtube.com/watch?v=X7d6Dt17yHk,HYBE LABELS
IZ*ONE (아이즈원) - 'FIESTA' MV,Stone Music Entertainment,2020-02-17T09:00:06Z,116601220,1440415,https://www.youtube.com/watch?v=eDEFolvLn0A,Stone Music Entertainment
PP Krit - FIRE BOY [Official MV],PP Krit Entertainment,2022-11-03T01:00:08Z,35811923,206062,https://www.youtube.com/watch?v=NvBHCtMb5u8,PP Krit Entertainment
EVERGLOW (에버글로우) - FIRST MV,Stone Music Entertainment,2021-05-25T09:00:23Z,103739284,1491247,https://www.youtube.com/watch?v=Z3RA7bi5FUM,Stone Music Entertainment
1MILL - FIRST DAY OUT SCHOOL FT. DIAMOND (OFFICIAL MV),1 MILL,2020-01-02T12:00:10Z,78998442,502679,https://www.youtube.com/watch?v=tD1SF-enc9U,1 MILL
X1 (엑스원) 'FLASH' MV,Stone Music Entertainment,2019-08-27T09:00:05Z,124311673,1879557,https://www.youtube.com/watch?v=LlQEKB2H7z4,Stone Music Entertainment
UrboyTJ : FLEX - (Official Music Video),URBOYTJ,2020-03-01T12:00:59Z,2772842,66124,https://www.youtube.com/watch?v=CLH7l8lDDu0,URBOYTJ
"Jus2 ""FOCUS ON ME"" M/V",JYP Entertainment,2019-03-03T15:00:10Z,44439066,944983,https://www.youtube.com/watch?v=uf27Hxrglrk,JYP Entertainment
Girls' Generation 소녀시대 'FOREVER 1' MV,SMTOWN,2022-08-05T09:00:16Z,74427925,2061290,https://www.youtube.com/watch?v=Qpf26PtBXgo,SMTOWN
Ruel - Face To Face (Official Video),RuelVEVO,2019-08-08T21:00:06Z,22307839,472228,https://www.youtube.com/watch?v=r5Z741PC9_c,RuelVEVO
Face-off,Jimin - Topic,2023-03-24T04:00:10Z,14366841,349901,https://www.youtube.com/watch?v=TLT_MqzRHfY,Jimin - Topic
NCT 127 엔시티 127 'Fact Check (불가사의; 不可思議)' MV,SMTOWN,2023-10-06T06:00:31Z,64384087,848738,https://www.youtube.com/watch?v=vGuJuW0bDWA,SMTOWN
피아노 Faded In My Last Song,NCT - Topic,2020-10-12T09:01:31Z,5938527,75809,https://www.youtube.com/watch?v=f-4kTfeIKzg,NCT - Topic
ARMOR - Fall in love  (Visualizer),ARMOR,2023-06-03T17:00:10Z,21561200,121412,https://www.youtube.com/watch?v=ThEftPScNwA,ARMOR
Trevor Daniel - Falling (Lyrics),SyrebralVibes,2018-10-05T19:58:33Z,597113589,6374809,https://www.youtube.com/watch?v=eIc4mqyN1Q8,SyrebralVibes
James Arthur - Falling Like The Stars,JamesAVEVO,2019-05-24T07:00:04Z,83729933,711560,https://www.youtube.com/watch?v=PMGY8fLwess,JamesAVEVO
Taylor Swift - False God (Official Audio),TaylorSwiftVEVO,2019-08-23T04:00:01Z,14008457,158377,https://www.youtube.com/watch?v=acQXa5ArHIk,TaylorSwiftVEVO
NCT 127 'Far' (Official Audio) | Sticker - The 3rd Album,NCT 127,2021-09-17T04:00:34Z,798109,56962,https://www.youtube.com/watch?v=WcMxOf1rURo,NCT 127
Juice WRLD - Fast,JuiceWRLDVEVO,2019-04-09T18:00:03Z,99039297,1028217,https://www.youtube.com/watch?v=lzQpS1rH3zI,JuiceWRLDVEVO
ENHYPEN (엔하이픈) 'Fatal Trouble' Official MV | DARK MOON SPECIAL ALBUM 'MEMORABILIA',DARK MOON by HYBE,2024-05-13T09:00:20Z,6789509,380243,https://www.youtube.com/watch?v=D4NkQ9z65w8,DARK MOON by HYBE
NCT 127 엔시티 127 'Favorite (Vampire)' MV,SMTOWN,2021-10-25T09:01:41Z,74136059,1905309,https://www.youtube.com/watch?v=7uxu4Z2HAnA,SMTOWN
[M/V] SEVENTEEN(세븐틴) - 독 : Fear,SEVENTEEN,2019-09-16T09:00:01Z,61409740,1383236,https://www.youtube.com/watch?v=ap14O5-G7UA,SEVENTEEN
Feel Good,SEULGI - Topic,2020-07-06T09:00:00Z,1847795,22876,https://www.youtube.com/watch?v=0Pokw-ouRqI,SEULGI - Topic
Feel Like Home - Atom ชนกันต์ feat. Burin Boonvisut [Official MV],GMM GRAMMY OFFICIAL,2019-03-13T13:00:05Z,13498038,6177,https://www.youtube.com/watch?v=c_SRSJ8820g,GMM GRAMMY OFFICIAL
Selena Gomez - Feel Me (Live from the Revival Tour),SelenaGomezVEVO,2020-03-05T16:00:01Z,45699004,841980,https://www.youtube.com/watch?v=8N_Yro5QeCE,SelenaGomezVEVO
Red Velvet 레드벨벳 'Feel My Rhythm' MV,SMTOWN,2022-03-21T09:07:08Z,82522482,2370208,https://www.youtube.com/watch?v=R9At2ICm4LQ,SMTOWN
"TWICE ""Feel Special"" M/V",JYP Entertainment,2019-09-23T09:00:11Z,522980962,5321445,https://www.youtube.com/watch?v=3ymwOvzhwHs,JYP Entertainment
Joji - Feeling Like The End,Joji,2022-11-04T04:00:00Z,4601304,122718,https://www.youtube.com/watch?v=-1mgA2wKQF8,Joji
"WATTS, Khalid - Feels (feat. Khalid) (Official Video)",KhalidVEVO,2021-05-26T16:00:12Z,3493179,100747,https://www.youtube.com/watch?v=rqMwvCmgE44,KhalidVEVO
[MV] GFRIEND(여자친구) _ Fever(열대야),1theK (원더케이),2019-07-01T09:00:04Z,34001671,775699,https://www.youtube.com/watch?v=Zll7O1v63aY,1theK (원더케이)
BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,2021-04-01T15:00:09Z,231003610,9623810,https://www.youtube.com/watch?v=zFT3f9biz68,HYBE LABELS
Filter,BTS - Topic,2020-02-21T09:27:25Z,123703281,2173692,https://www.youtube.com/watch?v=dNUnnb8F-Cw,BTS - Topic
Fireflies (THE OFFICIAL SONG OF THE WORLD SCOUT FOUNDATION),NCT DREAM - Topic,2019-07-15T10:07:00Z,3751821,90630,https://www.youtube.com/watch?v=3gpoXiCQ45A,NCT DREAM - Topic
Jack Harlow - First Class [Official Music Video],Jack Harlow,2022-05-06T04:00:12Z,124893645,1320869,https://www.youtube.com/watch?v=yQBImEeXNZ4,Jack Harlow
Koo Junyup (CLON) & NCT 127 - First Love (Original: CLON) [Music Bank / 2017.06.30],KBS WORLD TV,2017-07-04T07:48:37Z,1878712,108752,https://www.youtube.com/watch?v=OPCtkQel1-Q,KBS WORLD TV
Flu (Flu),IU - Topic,2021-03-25T09:28:11Z,15606308,103579,https://www.youtube.com/watch?v=E787kCVAeL8,IU - Topic
내 방을 여행하는 법,BTS - Topic,2020-11-20T05:37:27Z,41806697,1410033,https://www.youtube.com/watch?v=YSuOwf24psk,BTS - Topic
NCT 127 '같은 시선 (Focus) + Road Trip + Bring The Noize' Live @NCT 127 WORLD PREMIERE STICKER,NCT 127,2021-09-18T06:00:05Z,3526713,196063,https://www.youtube.com/watch?v=OyXE05MFM58,NCT 127
Follow – Atom ชนกันต์ [Official MV],OfficialWhiteMusic,2021-03-04T13:00:14Z,1345566,14614,https://www.youtube.com/watch?v=uY3pUN-2bhQ,OfficialWhiteMusic
Kanye West - Follow God,KanyeWestVEVO,2019-11-08T19:00:11Z,59749808,1184142,https://www.youtube.com/watch?v=ivCY3Ec4iaU,KanyeWestVEVO
Imagine Dragons - Follow You (Official Music Video),ImagineDragonsVEVO,2021-03-16T15:00:14Z,86406091,1068550,https://www.youtube.com/watch?v=k3zimSRKqNw,ImagineDragonsVEVO
For The Night,Pop Smoke - Topic,2020-07-03T04:04:24Z,25822742,288218,https://www.youtube.com/watch?v=1QsATOApciw,Pop Smoke - Topic
V 'For Us' Official MV,HYBE LABELS,2023-09-15T15:00:01Z,24261902,1202294,https://www.youtube.com/watch?v=LHtzWOLBdPc,HYBE LABELS
For Youth,BTS - Topic,2022-06-10T04:04:32Z,36686123,1515328,https://www.youtube.com/watch?v=PCupTKYKpmE,BTS - Topic
