track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,125235,sped up 8282,spotify:track:3B228N0GxfUCwPyfNcJxps,WM Korea,198,198,-1,1
D-Day,424380,Agust D,spotify:track:22W6wI4hDTjMAYKKBQW9dU,BIGHIT MUSIC,61,61,-1,2
DARARI,2331605,TREASURE,spotify:track:0dcnrLo8s1rhjm8euGjI4n,YG Entertainment,1,4,-1,45
DAY ONE,27473744,PUN,spotify:track:5QxNmQBXpLPemzpDvsuiLM,Universal Music (Thailand) Ltd.,6,6,-1,31
DEJAYOU,2245787,PiXXiE,spotify:track:1bgLH9NEAFkwnMwDmD8ScN,LIT ENTERTAINMENT,134,134,-1,14
DRIP,5415844,BABYMONSTER,spotify:track:1MUZitHRpmng5NevrvNx4T,YG Entertainment,13,13,-1,10
Daechwita,3851797,Agust D,spotify:track:0JKGe340YJwfDrpXqPQ8sw,BIGHIT MUSIC,31,45,-1,21
Daily Magic,155069,Billkin,spotify:track:21gpUjOF7vYrqMMjQgMI3g,Billkin Entertainment,159,159,-1,1
Dance The Night - From Barbie The Album,299150,Dua Lipa,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Atlantic Records,174,174,-1,2
Dance with Me,4579089,Blackbeans,spotify:track:2TxW5LastxN8LZ5r6711m1,Blackbeans,91,95,-1,106
Dandelion,1387821,JAEHYUN,spotify:track:3bqmErC7qZn0BMQHGfnxby,SM Entertainment,21,21,-1,3
Dandelions,1567126,Ruth B.,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Columbia,58,170,-1,63
Dangerous,2251211,TEN,spotify:track:56vA4AoGec8ae9nmdprBBI,SM Entertainment,60,60,-1,10
Dangerously,2156019,Charlie Puth,spotify:track:4BLpd6QINAs4UXd1lVtdhj,Artist Partner,74,74,-1,13
Daylight,5268793,David Kushner,spotify:track:1odExI7RdWc4BT515LTAwj,"Miserable Music Group, LLC",76,76,-1,28
Deja Vu,1407936,TOMORROW X TOGETHER,spotify:track:3aAnwyBJY9OLNLqSgd4fZU,Republic Records - TXT,26,26,-1,4
Die For You,25278676,The Weeknd,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,Universal Republic Records,5,43,33,180
Die For You (with Ariana Grande) - Remix,7904576,"The Weeknd, Ariana Grande",spotify:track:4W4fNrZYkobj539TOWsLO2,XO / Republic Records,3,6,-1,31
Die For You - Remix,1508197,"The Weeknd, Ariana Grande",spotify:track:7oDd86yk8itslrA9HRP2ki,XO / Republic Records,3,3,-1,2
Die With A Smile,22805141,"Lady Gaga, Bruno Mars",spotify:track:2plbrEY59IikOBgBGLjaoe,Interscope,6,6,-1,21
Diet Pepsi,808987,Addison Rae,spotify:track:6MzofobZt2dm0Kf1hTThFz,Columbia,143,143,-1,4
Dirtytalk,112083,"GUZT, YUNGTARR",spotify:track:2cApw31XNTLlRL7PDKRxX1,GUZT,189,189,-1,1
Ditto,21096282,NewJeans,spotify:track:3r8RuvgbX9s7ammBn07D3W,ADOR,1,1,1,56
Do It Like That,626499,"TOMORROW X TOGETHER, Jonas Brothers",spotify:track:7kaFsQygyiCqRboWCXztxZ,Republic Records - TXT,75,75,-1,3
Don't ever say love me (feat. RM of BTS),3910678,"Colde, RM",spotify:track:34o6gteNy2T5rieA0xYAgo,WAVY,1,1,-1,5
Dopamine - GISELLE Solo,298701,aespa,spotify:track:6pIuPm3u7QgUFAX1V0D9wY,SM Entertainment,86,86,-1,1
Double Fantasy (with Future),126851,"The Weeknd, Future",spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi,Republic Records,180,180,-1,1
Down Bad,509632,Taylor Swift,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,77,77,-1,2
Drama,11359655,aespa,spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,SM Entertainment / Warner Records,4,4,-1,32
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2680800,"Jung Kook, BTS, FIFA Sound",spotify:track:1RDvyOk4WtPCtoqciJwVn8,Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,2,55,-1,19
Dum Dum,7229154,Jeff Satur,spotify:track:6b2nmFsOb2sDumvHLMFLA1,WM/Thailand,44,44,-1,34
EASY,3142461,LE SSERAFIM,spotify:track:2O4Bb2WCkjlTPO827OnBMI,SOURCE MUSIC,52,52,-1,13
ETA,2386942,NewJeans,spotify:track:56v8WEnGzLByGsDAXDiv4d,ADOR,21,21,-1,10
Either Way,138312,IVE,spotify:track:3jxFmvoG55Cwv0JJBzRPce,Starship Entertainment,200,200,-1,1
Embrace It,392465,Ndotz,spotify:track:0io16MKpbeDIdYzmGpQaES,Isekai Records,180,180,-1,2
Enchanted,1123703,Taylor Swift,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,"Big Machine Records, LLC",97,160,-1,55
Enchanted (Taylor's Version),150253,Taylor Swift,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,166,166,-1,1
End of Beginning,6537039,Djo,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,70,70,-1,27
Escapism.,821869,"RAYE, 070 Shake",spotify:track:5mHdCZtVyb4DcJw8799hZp,Human Re Sources,155,155,-1,7
Espresso,20025063,Sabrina Carpenter,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Island Records,17,17,-1,39
Euphoria,140192,BTS,spotify:track:5YMXGBD6vcYP7IolemyLtK,BIGHIT MUSIC,31,179,-1,15
Everyday,3387569,"Ariana Grande, Future",spotify:track:30TmLgK0ja5O8q9l4BShIX,Universal Records,95,95,-1,19
Everyone Else Fades,1075570,Mark Tuan,spotify:track:7ACUsvZmitu4pX7dQk3Ntp,DREAMERS N ACHIEVERS,33,33,-1,5
