track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
Leo (feat. BAEKHYUN),205908,"BOL4, BAEKHYUN",spotify:track:4F9qxQqmkFnBjIvrpiQ7jV,쇼파르뮤직,78,78,-1,3,90,D#,Major,60,65,54,66,0,15,3
Less Than Zero,58742,The Weeknd,spotify:track:2D4dV2KXDTszzJ3p3cFqhA,XO / Republic Records,172,172,-1,1,143,C,Major,54,50,79,0,0,8,3
Let Me Down Slowly,535878,Alec Benjamin,spotify:track:2qxmye6gAegTMjLKEBoR3d,2018,85,85,-1,26,150,C#,Minor,65,48,56,74,0,12,3
"Let Me Go (with Alesso, Florida Georgia Line & watt)",140484,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",spotify:track:5Gu0PDLN4YJeW75PpBSg9p,Universal Records,16,170,-1,41,103,G#,Major,66,74,71,3,0,8,5
Let Me In,289747,EXO,spotify:track:5e6hUjvQG2inD4Svco0PvP,SM Entertainment,159,159,-1,2,84,C#,Minor,55,37,68,46,0,17,4
Let Somebody Go,218953,"Coldplay, Selena Gomez",spotify:track:4cGqn0E8JCSY9gQllQj4Mf,Parlophone UK,69,69,-1,3,131,C,Major,59,16,34,19,0,11,3
Let's Cry,50098,Dept,spotify:track:7wAvBndcA7994ZfErwttr9,Smallroom,134,134,-1,1,105,C#,Minor,61,56,72,42,18,19,3
Let's Dance,258816,BamBam,spotify:track:6ik3gFk33ugDijVHKISRpz,Abyss Company,150,150,-1,2,120,E,Minor,80,24,20,62,0,10,7
Letting Go,29774,ONE OK ROCK,spotify:track:6KEkXeBJIHTFifMp9HK8tc,Fueled By Ramen,123,123,-1,1,98,A,Major,80,40,66,34,0,9,5
Level of Concern,90393,Twenty One Pilots,spotify:track:6xZ4Q2k2ompmDppyeESIY8,Fueled By Ramen,158,158,-1,2,122,E,Minor,75,77,58,32,0,14,4
Levitating (feat. DaBaby),3746798,"Dua Lipa, DaBaby",spotify:track:5nujrmhLynf4yMoMtj8AQF,Warner Records,66,66,-1,56,103,F#,Minor,70,92,82,1,0,7,6
Liar,895476,Camila Cabello,spotify:track:7LzouaWGFCy4tkXDOOnEyM,Syco Music/Epic,74,74,-1,15,98,B,Minor,74,65,50,2,0,32,5
Lie To Me,48011,5 Seconds of Summer,spotify:track:3567eNX2L3RkkMkwspncMH,Capitol,116,116,-1,2,160,C,Major,63,69,48,1,0,10,4
Lie To Me (feat. Julia Michaels),238052,"5 Seconds of Summer, Julia Michaels",spotify:track:6GzApXoBQiiAjak3tOQfV3,Capitol,67,67,-1,7,160,C,Major,61,77,52,1,0,10,3
Lie With You,2397084,TEN,spotify:track:39uhLliuH6Otvhg9duW9Fb,SM Entertainment,51,51,-1,10,168,A,Major,61,78,80,23,0,12,5
Lies,3589376,ETC.,spotify:track:4cuqxTgaj2Bzrlti3s6MDZ,Muzik Move Records,60,60,-1,66,126,A#,Major,59,36,54,75,0,11,4
Life Boy (พูดไปก็ไลฟ์บอย),1158137,4EVE,spotify:track:6PBIcQaSWsv3EBExPSk9H3,"TPOP INCORPORATION Co.,Ltd.",64,64,-1,6,113,C#,Major,71,88,85,2,0,9,7
Life Goes On,10080510,BTS,spotify:track:249gnXrbfmV8NG6jTEMSwD,BIGHIT MUSIC,1,1,-1,77,81,C#,Major,57,45,72,1,0,37,4
Life Is Good (feat. Drake),547988,"Future, Drake",spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Epic/Freebandz,70,70,-1,8,142,D,Minor,68,51,61,7,0,15,48
Life Is Live,218845,LAZYLOXY,spotify:track:2jmZ9PYz7PAowhJxbxUZvs,Yupp! Entertainment,52,52,-1,4,114,G,Major,88,79,50,30,0,6,21
Life Is Still Going On,1477957,NCT DREAM,spotify:track:3THdOskGxdJcRbp0DcS4s0,SM Entertainment,38,38,-1,21,150,C,Minor,68,68,75,16,0,30,7
Life's Too Short (English Version),541633,aespa,spotify:track:2ouguQxJZn4jXisuNREqe5,SM Entertainment / Warner Records,55,55,-1,5,72,C,Major,47,55,80,29,0,15,26
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,453879,Rihanna,spotify:track:6sCvvleqKbeyOkQDieBYgp,Roc Nation/Def Jam/Hollywood,56,56,-1,3,177,A,Major,25,17,30,90,0,13,3
Light Bulb,58522,NCT U,spotify:track:401ceGHOdH7VhxkhyPRoJP,SM Entertainment,158,158,-1,1,158,E,Minor,60,35,83,7,0,14,13
Light It Up (with Tyga & Chris Brown),70537,"Marshmello, Tyga, Chris Brown",spotify:track:4Q8aDd3H6LF8t4eY7So9O8,Astralwerks,106,106,-1,2,100,B,Minor,81,60,62,4,0,12,7
Light Switch,2507336,Charlie Puth,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Atlantic Records,69,69,-1,28,184,F#,Major,69,90,63,10,0,9,31
Lights,238919,BTS,spotify:track:44vXWYTcdrejrIQZEoHzl8,Universal Music LLC,36,36,-1,4,99,F,Major,62,40,66,11,0,10,3
Lights Up,625602,Harry Styles,spotify:track:2plLJpUcYPFrl1sW2pMG63,Columbia,53,53,-1,8,102,A#,Minor,57,27,62,4,0,14,3
Like,189309,BTS,spotify:track:55Ctj6nVfobn9AcPe6sLG2,BIGHIT MUSIC,122,122,-1,3,101,C,Minor,74,78,72,30,0,26,7
Like 1999,49761,Valley,spotify:track:3aHYf6AXlWujDG9CzzT95i,Universal Music Canada,168,168,-1,1,98,G,Major,73,52,38,13,0,16,5
Like Crazy,106349221,Jimin,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,BIGHIT MUSIC,1,1,-1,71,120,G,Major,63,36,73,0,0,36,4
Like Crazy (English Version),4476428,Jimin,spotify:track:0u8rZGtXJrLtiSe34FPjGG,BIGHIT MUSIC,22,22,-1,21,120,G,Major,62,32,76,0,0,39,4
Like I Do,2467523,J.Tajor,spotify:track:1TiZWEsxN85yLJBq56K8mG,ACTS Music Group,108,108,-1,13,105,A,Major,84,62,49,67,0,11,4
Like I'm Gonna Lose You (feat. John Legend),1489134,"Meghan Trainor, John Legend",spotify:track:2YlZnw2ikdb837oKMKjBkW,Epic,72,72,-1,23,108,C,Major,63,42,53,40,0,18,4
Like It Is,84096,"Kygo, Zara Larsson, Tyga",spotify:track:3frUvGrmGcay91lvFbOgsN,Kygo,170,170,-1,2,105,C#,Major,79,36,73,12,0,23,11
Like That (feat. Gucci Mane),1117195,"Doja Cat, Gucci Mane",spotify:track:4EivmOT13NMpNSfTKn9p4s,Kemosabe Records/RCA Records,67,67,-1,17,106,E,Minor,88,40,50,24,0,10,18
Like Water,322749,WENDY,spotify:track:37LhFxchiyAJVop5JgRZgY,SM Entertainment,59,59,-1,4,84,G,Major,36,25,63,65,0,12,4
Like always,46900,X1,spotify:track:1Jr8RbuOnvMHsMHcWgZ9Do,Genie Music Corporation,147,147,-1,1,120,F,Major,78,82,88,3,0,5,6
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),4628137,"Halsey, SUGA",spotify:track:3l6LBCOL9nPsSY29TUY2VE,Capitol Records,4,4,-1,12,84,A,Minor,43,14,74,1,0,18,8
Lil’ Touch,64664,Girls' Generation-Oh!GG,spotify:track:4D5Ode2OfZMxIwQyvmhUe8,SM Entertainment,12,155,145,20,112,B,Minor,79,67,79,1,0,30,10
Lips On Lips,22024,Tiffany Young,spotify:track:06KVx1il9j6VbQfVtFXpW8,Universal Music Taiwan,200,200,-1,1,127,F,Major,59,38,64,8,0,12,5
Little Light,6064026,DOYOUNG,spotify:track:1Y5D7m2QtyBdvwvY3gAVNQ,SM Entertainment,18,18,-1,16,92,A#,Major,53,42,74,23,0,16,5
Living Proof,42266,Camila Cabello,spotify:track:1jg9clsGCDqOumfS0X5xm9,Syco Music/Epic,197,197,-1,1,78,G,Major,74,52,51,11,0,36,8
Lo Vas A Olvidar (with ROSALÍA),63851,"Billie Eilish, ROSALÍA",spotify:track:0psS4i5YooJrXfDnGvWRLi,Darkroom/Interscope Records,115,115,-1,1,135,E,Minor,34,3,24,72,0,7,8
