track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
"""Slut!"" (Taylor's Version) (From The Vault)",189037,Taylor Swift,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,106,106,-1,1,78,G,Major,63,31,41,32,0,6,6
00:00 (Zero O’Clock),772422,BTS,spotify:track:4AlihYDqxXshKhvh5tnMfP,BIGHIT MUSIC,21,21,-1,8,158,C#,Major,56,20,55,8,0,11,7
0X1=LOVESONG (I Know I Love You) feat. Seori,639294,"TOMORROW X TOGETHER, Seori",spotify:track:1Z8TPHiKeCUyClxV6WTTIf,Republic Records - TXT,70,70,-1,11,105,C,Major,58,48,84,6,0,7,8
1 Billion Views,206284,"EXO-SC, Moon Sujin",spotify:track:4gGZc6MMYavM5KFS2zwOVL,SM Entertainment,91,91,-1,3,112,C,Minor,74,61,73,36,0,10,4
1%,4038730,Stamp,spotify:track:2ht9QvYzzSUod5T69TUVbR,123Records,10,10,-1,33,116,G#,Major,63,52,57,58,0,12,4
"10,000 Hours (with Justin Bieber)",8177601,"Dan + Shay, Justin Bieber",spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Warner Music Nashville,11,11,-1,118,90,A#,Major,65,43,63,15,0,11,3
100,56959,SuperM,spotify:track:65x81o2eIyfQT6hpQkCKhj,SM Entertainment/Capitol Records,179,179,-1,1,115,G,Major,69,40,86,3,0,36,5
1001 (You're Lovely),11404184,SERIOUS BACON,spotify:track:7ip4DUtdpLH4TkHfKgFbpf,Boxx Music,10,10,-1,80,95,E,Major,68,39,57,71,0,25,3
11 Minutes (with Halsey feat. Travis Barker),160127,"YUNGBLUD, Halsey, Travis Barker",spotify:track:4mGdjNMo0RonTlOEb7cYg4,Locomotion Recordings/Geffen Records,84,84,-1,5,160,B,Major,46,23,85,1,0,11,7
119,38616,NCT DREAM,spotify:track:0AHpMhCdgaz00aMkoEZTXd,SM Entertainment,171,171,-1,1,104,C,Major,70,50,88,12,0,7,6
134340,144760,BTS,spotify:track:1MX0g22bQkr9HDVe37fLnN,BIGHIT MUSIC,15,87,-1,4,106,B,Minor,66,65,69,16,0,17,5
149.6,251344,Bodyslam,spotify:track:6FZfxnZ1qoVoL5EpQXXWOx,GMM Music Public Company Limited,27,27,-1,7,156,E,Minor,45,34,88,1,0,8,6
17,27218108,Dept,spotify:track:3LejSFG20mSl4IzORHa7Ya,Smallroom,3,3,-1,78,121,A#,Major,75,97,78,5,0,13,4
17 นาที (feat. mints),5981380,"MILLI, mints",spotify:track:1CfKHIQhgKrUMAkj4VwI4J,Yupp! Entertainment/88rising Music,4,4,-1,25,118,B,Major,95,72,45,12,0,13,16
18,46249,Jeremy Zucker,spotify:track:4h7CVH9xtHoYSlEV5Dpamk,Republic Records,165,165,-1,1,114,E,Major,78,61,60,4,0,11,4
1°,68050,GOT7,spotify:track:6y6ahMwoZniXQNurGMT296,Republic Records - JYP Entertainment,110,110,-1,2,95,C,Minor,77,59,62,9,0,36,9
2 Baddies,668832,NCT 127,spotify:track:1WKLxJpDqkQ9x1qEDNutoX,SM Entertainment,68,68,-1,6,172,D,Major,60,53,92,15,0,9,26
2 Fast,75082,SuperM,spotify:track:5U3DWGGD8mFYcDhoMxpQPD,SM Entertainment/Capitol Records,82,82,-1,1,130,F,Minor,47,50,74,23,0,10,10
2 faces,305729,Mark Tuan,spotify:track:3I7s9xEyLFWbEDtsv7vYt3,DREAMERS N ACHIEVERS,58,58,-1,1,140,D,Major,73,66,45,12,1,34,3
2 soon,6235563,keshi,spotify:track:5SlU0Yhi51jobhEiGE4xDv,keshi,97,97,-1,103,174,F#,Minor,52,15,66,15,0,32,4
200,483086,MARK,spotify:track:7rx73Y7UB1gy6bOLqJvsRe,SM Entertainment,104,104,-1,2,156,A,Major,54,65,82,0,0,10,14
2002,8466527,Anne-Marie,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Atlantic Records UK,14,63,-1,188,96,C#,Minor,70,60,68,4,0,14,12
20cm,352413,TOMORROW X TOGETHER,spotify:track:5TxtM4vmk6pXpgq8lJtvB0,Republic Records - TXT,100,100,-1,5,137,F#,Minor,66,61,55,3,0,18,3
20ตุลา,101947,Silly Fools,spotify:track:0N6LtfTaauUS8o69K4xmS7,ME Records,61,61,-1,3,126,F#,Major,49,23,70,57,1,37,3
22 (Taylor's Version),67089,Taylor Swift,spotify:track:3yII7UwgLF6K5zW3xad3MP,Taylor Swift,120,120,-1,1,104,G,Major,66,67,73,0,0,5,4
24/7,1128096,"Celina Sharma, Harris J.",spotify:track:304uzYXYjPulJpLRJzuesX,Mugal Records,68,68,-1,15,108,A#,Major,71,38,64,39,0,7,7
"24/7, 365",939006,elijah woods,spotify:track:05QUYSOApWLr8oBbpONl7p,elijah woods,176,176,-1,6,150,F#,Major,66,41,55,20,0,12,4
247,7856246,LUSS,spotify:track:7AQFhodzN09DtXGiIDtFrd,WM/Thailand,21,21,-1,67,93,G,Major,71,57,45,73,0,9,21
26,52770,Lauv,spotify:track:0du67LyuJeUjQChxl8rTa8,Lauv,199,199,-1,1,164,F#,Major,64,51,46,81,0,24,9
28 (feat. NiiHWA),656238,"Agust D, NiiHWA",spotify:track:3pGNUEIlaUlCU8mXxKInzw,BIGHIT MUSIC,64,64,-1,3,120,A,Minor,68,35,64,9,0,12,5
28 Reasons,190574,SEULGI,spotify:track:1dfsPqH09vnzUWEOsN98Ex,SM Entertainment,128,128,-1,2,122,F,Minor,77,49,65,21,0,14,10
2AM (คุณเคยรักใครมากๆมั้ย?),2765081,"Saran, BlackHeart, Rifle",spotify:track:50D7ptFXhgR9GZ9g7G20SF,SARAN,47,47,-1,8,140,A#,Major,86,36,38,84,0,14,8
2Drunk,46270,Nick Jonas,spotify:track:33o0xXMPY41CWwDTnxyM5Z,Island Records,194,194,-1,1,156,F#,Major,65,61,80,3,0,20,18
2U,110467,KANGDANIEL,spotify:track:00S4PrcWUb3f3dQ9PuC0uy,KONNECT Ent.,91,91,-1,2,96,D,Major,72,56,74,4,0,10,7
3 Nights,30996,Dominic Fike,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Columbia,149,149,-1,1,152,G,Minor,82,88,52,22,0,10,9
34+35,11061190,Ariana Grande,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Republic Records,8,8,-1,90,110,C,Major,83,48,58,24,0,25,9
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",149992,"Ariana Grande, Doja Cat, Megan Thee Stallion",spotify:track:3jjBPF4NDMCU51psU8JPpR,Republic Records,63,63,-1,2,110,F,Major,66,70,66,21,0,23,43
365,286755,"Zedd, Katy Perry",spotify:track:2XWjPtKdi5sucFYtVav07d,Interscope Records,41,41,-1,6,98,D,Minor,74,25,69,34,0,12,3
3:00 AM,948777,Finding Hope,spotify:track:5HsSsEeP3hU9QSfHZrzbtA,Seeking Blue,123,123,-1,19,82,C,Minor,55,3,15,56,0,29,4
3D (feat. Jack Harlow),75271346,"Jung Kook, Jack Harlow",spotify:track:01qFKNWq73UfEslI0GvumE,BIGHIT MUSIC,2,2,-1,67,108,C#,Major,85,89,82,3,0,9,10
3am,273678,ROSÉ,spotify:track:3y4q6bBdbXsTIaPiwiiUfy,Atlantic Records,134,134,-1,1,150,D,Major,60,32,65,37,0,14,4
4:00,514701,THE TOYS,spotify:track:1PGNDa8dIRkOQ6VLvNHRdw,What The Duck,1,95,95,65,120,C#,Major,71,24,50,46,0,17,4
7 Days,261051,NCT DREAM,spotify:track:0nsL0AalAUFNCi7DYhnihQ,SM Entertainment,52,52,-1,3,100,F#,Minor,74,63,89,15,0,12,8
7 Minutes,43659,Dean Lewis,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,Universal Music Australia Pty. Ltd.,187,187,-1,2,105,A#,Major,61,71,74,53,0,15,3
7 rings,6464343,Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Republic Records,1,1,-1,79,140,C#,Minor,78,33,32,59,0,9,33
7YUPP,52452,"MILLI, Maiyarap, LAZYLOXY, AUTTA, Ben Bizzy, NAMEMT, Blacksheep",spotify:track:1vIHINaKCeFYHHHkyLpxQW,Yupp! Entertainment,189,189,-1,1,159,C#,Major,78,51,66,9,0,11,34
9 and Three Quarters (Run Away),365958,TOMORROW X TOGETHER,spotify:track:2MsNSKQNQNRklkKFxxvIav,Republic Records - TXT,66,66,-1,6,129,C#,Major,64,53,76,1,0,13,6
9 นาฬิกา,17745973,SPF,spotify:track:1RIcNj56JKuH0WB9AyNARB,Mono Music,42,42,-1,51,110,C#,Major,57,63,93,30,0,9,4
90's Love,1523084,NCT U,spotify:track:64EDGnUytmCV7TfOo67810,SM Entertainment,37,37,-1,17,108,C#,Minor,74,70,92,7,0,11,6
= (Equal Sign),390033,j-hope,spotify:track:70XnKsO3UnIT4FnEwChQXx,BIGHIT MUSIC,43,43,-1,3,106,A,Major,67,71,75,2,0,35,7
A Brand New Day (BTS World Original Soundtrack) (Pt. 2),250143,"BTS, Zara Larsson",spotify:track:5XkyZyKMdFungjDb9cUKc3,BIGHIT MUSIC,26,26,-1,4,105,G#,Minor,80,71,50,34,0,18,6
A Rocket to the Moon,17998045,GAVIN:D,spotify:track:4Tp1SRCTJ6LO8XA3i9vuAT,Gavin D,9,9,-1,117,148,D,Major,63,11,44,36,0,12,3
A Whole New World,98975,"Mena Massoud, Naomi Scott",spotify:track:5viFjDGTnrApmUY5c8qkfw,Walt Disney Records,136,136,-1,3,121,C,Major,40,13,38,22,0,14,3
"A Whole New World (End Title) - From ""Aladdin""",619113,"ZAYN, Zhavia",spotify:track:1iWHabUgUuuKLBa0TzTHfk,Walt Disney Records,16,16,-1,10,111,D,Major,30,10,41,6,0,9,3
A little thing,347822,Peck Palitchoke,spotify:track:0aaASxHyUk8kCiID0f0cNE,GMM Music Public Company Limited,50,50,-1,3,83,F,Major,74,42,45,62,0,9,10
ABCD,189485,NAYEON,spotify:track:53rB05bAi7JdNbUfgz72I1,Republic Records – NAYEON (TWICE),200,200,-1,1,106,D#,Minor,68,86,93,4,0,19,6
AH YEAH,73591,WINNER,spotify:track:2EhvCzRw0C7anZHsj284oX,YG Entertainment,92,92,-1,2,128,G,Major,80,88,72,36,0,18,4
ALICE,5390267,QLER,spotify:track:4nimbIVI2u2XUD70c1dOBu,What The Duck,70,70,-1,27,90,B,Major,65,56,64,5,1,10,3
AMYGDALA,422231,Agust D,spotify:track:5fj32MKLHkut2Vod1UodcU,BIGHIT MUSIC,64,64,-1,2,78,G,Major,31,16,77,23,0,10,6
ANGOSTURA,56917,keshi,spotify:track:38umMmZQdeoOG7Zojor4g3,Island Records,171,171,-1,1,170,F#,Major,54,20,66,41,0,11,5
ANL,126496,NCT DREAM,spotify:track:3zIvzPKUUdSpDCm1uua6Be,SM Entertainment,78,78,-1,2,158,F#,Minor,67,60,71,25,0,14,5
ANTIFRAGILE,4986420,LE SSERAFIM,spotify:track:4fsQ0K37TOXa3hEQfjEic1,SOURCE MUSIC,52,52,-1,29,105,A#,Minor,88,83,78,8,0,12,8
APT.,16738149,"ROSÉ, Bruno Mars",spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Atlantic Records,5,5,-1,12,149,C,Minor,78,94,78,3,0,36,26
ASAP,1096066,NewJeans,spotify:track:5fpyAakgFOm4YTXkgfPzvV,ADOR,24,24,-1,4,130,C,Minor,93,37,49,47,0,10,16
AURA,41883,GOT7,spotify:track:7MthitzhOiulghCWPy3AhK,Republic Records - JYP Entertainment,180,180,-1,1,90,A,Minor,69,71,77,14,0,11,14
About You,1871103,The 1975,spotify:track:1fDFHXcykq4iw8Gg7s5hG9,Dirty Hit,136,136,-1,18,96,D,Major,42,46,76,31,80,6,3
Abyss,2254054,Jin,spotify:track:40BomFCBuJok3OjxM9oG7e,BIGHIT MUSIC,63,63,-1,9,144,C,Major,43,35,51,54,0,16,3
Adios,876415,EVERGLOW,spotify:track:5uHl2eYaITSX6xEX8bmaXy,"Genie Music Corporation, Stone Music Entertainment",57,57,-1,15,128,A#,Minor,63,40,71,0,8,24,6
Adore You,1525752,Harry Styles,spotify:track:3jjujdWJ72nww5eGnfs2E7,Columbia,56,56,-1,24,99,G#,Major,68,57,77,2,0,10,5
After Hours,359593,The Weeknd,spotify:track:4ejyZ4uJEXUURcgKp1kP8v,Republic Records,88,88,-1,6,109,F,Minor,66,14,57,8,1,12,3
After LIKE,7812745,IVE,spotify:track:2gYj9lubBorOPIVWsTXugG,Starship Entertainment,6,6,-1,40,125,C,Major,68,80,92,10,0,9,12
After Last Night (with Thundercat & Bootsy Collins),1130965,"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",spotify:track:3jiKUMXqwEodB7gVv1RMZU,Aftermath Entertainment/Atlantic,110,110,-1,10,140,C,Minor,65,65,70,3,0,6,8
After Midnight,49547,WayV,spotify:track:5OyBCIBDkTWUSvbFPFnKl0,LABEL V,178,178,-1,1,105,D,Minor,58,33,87,10,0,7,6
After School,825901,Weeekly,spotify:track:52CBUrIdyf8tbZaUY9iawE,PLAY M ENTERTAINMENT CORP.,85,85,-1,15,164,C#,Major,63,74,93,1,0,6,5
Afterglow,1414171,Ed Sheeran,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Atlantic Records UK,26,26,-1,11,110,B,Major,64,27,32,70,0,33,3
Afterthought,53452,"Joji, BENEE",spotify:track:1ggYjU6zdFHgANcku82boU,88rising Music,200,200,-1,1,84,C#,Major,61,19,55,40,8,9,4
Agora Hills,6342760,Doja Cat,spotify:track:5PyDJG7SQRgWXefgexqIge,Kemosabe Records/RCA Records,46,46,-1,25,123,G#,Minor,75,39,67,23,0,12,10
Ain't Shit,257204,Doja Cat,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Kemosabe Records/RCA Records,119,119,-1,5,124,D#,Major,86,62,49,51,0,35,21
Alcohol-Free,1502306,TWICE,spotify:track:3iPbmpKBMflYd7UjdYftoj,Republic Records - TWICE,10,10,-1,14,97,G#,Major,69,70,91,5,0,7,6
All 4 Nothing (I'm So In Love),193056,Lauv,spotify:track:21AziTMaZwcLflGMAj85o5,Lauv,135,135,-1,3,132,C#,Major,72,90,82,4,0,6,4
All About That Day,1999730,Nene鄭乃馨,spotify:track:2nR5g9ug01C4QFSAox8mYj,Sony Music Entertainment,51,51,-1,10,172,G,Major,58,18,74,23,0,7,5
All Day (with Tablo),153603,"RM, Tablo",spotify:track:40SuiVcQ5NyDk48nZSADK3,BIGHIT MUSIC,90,90,-1,1,115,G#,Major,76,55,69,10,0,28,12
All Eyes On Me,7048628,JISOO,spotify:track:2YXswOX5aKv6OHRKUcAMLQ,YG Entertainment,6,6,-1,29,110,G#,Minor,78,63,65,3,0,9,4
All I Need To Hear,106561,The 1975,spotify:track:42Q00bTTgyQhPE2FVWaoJE,Dirty Hit,117,117,-1,1,137,B,Major,40,21,24,91,0,12,3
All I Want,23013,Kodaline,spotify:track:5JuA3wlm0kn7IHfbeHV0i6,B-Unique/RCA,185,185,-1,1,187,C,Major,19,16,41,17,15,8,5
All I Want for Christmas Is You,2915224,Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Columbia,30,42,-1,31,150,G,Major,34,35,63,16,0,7,4
All Night (BTS World Original Soundtrack) (Pt. 3),239363,"BTS, Juice WRLD",spotify:track:70sKIAQgaVN2zWEEyOpyMZ,BIGHIT MUSIC,36,36,-1,4,120,F,Major,73,63,70,19,0,11,12
All Of The Girls You Loved Before,3410851,Taylor Swift,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,11,11,-1,15,96,D,Major,72,40,47,71,0,13,4
All That I Can Do,51492,Violette Wautier,spotify:track:2sLS6qNin5F6DhkL4F3VcP,Universal Music (Thailand) Ltd. Distributed Labels,179,179,-1,1,112,E,Major,60,48,79,6,0,12,8
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2169625,Taylor Swift,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,6,6,-1,12,93,C,Major,63,20,52,27,0,9,3
All Too Well (Taylor's Version),212243,Taylor Swift,spotify:track:3nsfB1vus2qaloUdcBZvDu,Taylor Swift,78,78,-1,3,186,C,Major,44,13,53,2,0,23,3
All Your Fault (Feat. GRAY),106513,"YUGYEOM, GRAY",spotify:track:4PP4siQamrO7i5Me9GOpqQ,"Genie Music Corporation, Stone Music Entertainment",119,119,-1,2,140,A#,Minor,66,56,85,16,0,10,3
Alone,469357,Jimin,spotify:track:5Hfnps0jaWFpYg55WOPexG,BIGHIT MUSIC,63,63,-1,2,102,C,Minor,59,17,45,28,0,12,3
Angel Baby,14988507,Troye Sivan,spotify:track:2m6Ko3CY1qXNNja8AlugNc,EMI Recorded Music Australia Pty Ltd,2,2,-1,90,72,B,Major,56,34,56,1,0,14,4
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",9531161,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga",spotify:track:1vvcEHQdaUTvWt0EIUYcFK,APG Inc – FF10,1,1,-1,10,85,A#,Minor,72,28,68,13,0,15,11
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2310551,"JVKE, Jimin, Charlie Puth, Muni Long, Fast & Furious: The Fast Saga",spotify:track:2yjeXq5ahx6UUg2rHaUe6X,APG Inc – FF10,4,4,-1,5,85,C#,Major,57,36,64,19,0,9,12
Angels Like You,50769,Miley Cyrus,spotify:track:1daDRI9ahBonbWD8YcxOIB,RCA Records Label,200,200,-1,1,122,F,Major,67,49,64,10,0,10,3
Anti-Hero,7271090,Taylor Swift,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,6,6,-1,33,97,E,Major,64,53,64,13,0,14,5
Anti-Romantic,514902,TOMORROW X TOGETHER,spotify:track:44tTqUi3xi7E28QLzHVdUA,Republic Records - TXT,111,111,-1,10,143,C,Minor,64,21,49,5,0,7,11
Antisocial (with Travis Scott),269970,"Ed Sheeran, Travis Scott",spotify:track:1DhRbox3xkceP64k3JeYfW,Atlantic Records UK,48,48,-1,4,152,F,Minor,72,91,82,13,0,36,5
Anxiety (with Selena Gomez),73903,"Julia Michaels, Selena Gomez",spotify:track:1XJ93XskwJf7PCyIVLbNBt,Republic Records,127,127,-1,3,142,G,Major,80,50,38,57,0,19,18
Any song,2102440,ZICO,spotify:track:1iIhGHzzrzqQfuNkFI2qAn,KOZ ENTERTAINMENT,11,11,-1,20,108,A#,Minor,87,90,79,12,0,11,13
Anyone,1709176,Justin Bieber,spotify:track:31qCy5ZaophVA81wtlwLc4,RBMG/Def Jam,26,26,-1,17,116,D,Major,68,58,52,18,0,11,3
Apple,63204,GFRIEND,spotify:track:3jg1u32Pn1c2M5r6SAQBCC,SOURCE MUSIC,142,142,-1,1,120,A,Major,64,23,93,2,0,12,16
April,5462789,Only Monday,spotify:track:1HcNxQxyvT4Jg2c1A9FxjS,GMM Music Public Company Limited,45,45,-1,28,140,A#,Major,48,31,45,15,0,13,3
Arcade,57239,NCT DREAM,spotify:track:4T9hw59r85ZkesNoYWQIJg,SM Entertainment,168,168,-1,1,170,C#,Major,61,56,68,4,0,26,17
Are You out yet ?,9251741,Anatomy Rabbit,spotify:track:26aQ0VXKHzPqu3aA3RWm8q,Anatomy Rabbit,75,75,-1,104,75,B,Minor,61,41,49,61,4,12,3
Armageddon,8310352,aespa,spotify:track:6i8MbzVn4nzyjUcSoVcz7B,SM Entertainment,6,6,-1,20,92,A,Major,70,47,79,7,0,17,7
Arms Around You (feat. Maluma & Swae Lee),101377,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",spotify:track:2LskIZrCeLxRvCiGP8gxlh,Warner Records,67,119,108,13,105,A,Minor,70,29,72,3,0,13,4
Arson,2089839,j-hope,spotify:track:2QWEMqQMJR1KDf6hDjJOs6,BIGHIT MUSIC,2,2,-1,9,100,C#,Major,94,26,80,1,0,15,10
As I Am (feat. Khalid),643352,"Justin Bieber, Khalid",spotify:track:6F2r4HgpJnvKDmkN6JEN6J,RBMG/Def Jam,51,51,-1,6,100,B,Major,60,11,54,13,0,10,4
As If It's Your Last,2845757,BLACKPINK,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,YG Entertainment,28,33,-1,124,125,G#,Major,79,46,85,7,0,8,8
As It Was,12981880,Harry Styles,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Columbia,10,10,-1,74,174,F#,Minor,52,66,73,34,0,31,6
Astronaut In The Ocean,1731693,Masked Wolf,spotify:track:3VT8hOC5vuDXBsHrR53WFh,Elektra (NEK),58,58,-1,22,150,E,Minor,78,47,70,18,0,15,9
Astronomy,43072,Conan Gray,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,Republic Records,171,171,-1,1,145,E,Minor,47,15,34,58,0,30,3
At My Worst,16244379,Pink Sweat$,spotify:track:2tI4WyzqOOwC23S5m0kqcB,Atlantic Records,7,7,-1,116,92,C,Major,73,35,48,73,0,33,4
Attention,8814760,NewJeans,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,ADOR,4,23,-1,86,105,A#,Minor,81,70,65,24,0,8,4
Ay-Yo,1086909,NCT 127,spotify:track:2KwOuFfwQyT9mZqjvchd81,SM Entertainment,58,58,-1,6,90,G#,Minor,75,41,84,1,0,32,12
Ayy Macarena,93579,Tyga,spotify:track:6LcauUZjF1eXQrgqMUecHX,Columbia/Last Kings Records,155,155,-1,2,96,D,Major,82,71,63,13,0,7,23
B.L.T (BLING LIKE THIS),73938,TREASURE,spotify:track:4rXZrKBGVRh98LnKxbda91,YG Entertainment,105,105,-1,1,128,E,Minor,72,62,78,4,0,34,8
B.O.M.B,1112236,TREASURE,spotify:track:3GQBY6EdENHSRtBRiCchVW,YG Entertainment,50,50,-1,5,120,A#,Major,80,84,85,26,0,8,4
B.O.M.B (KABOOM ver.),589672,TREASURE,spotify:track:4tU6jMMjcgQoV5dQTlW3k8,YG Entertainment,12,12,-1,1,120,A#,Major,80,81,84,12,0,11,6
B.T.W (feat. Jay Park) - Prod. Cha Cha Malone,272049,"JAY B, Jay Park",spotify:track:4f3wldin8UmItfSJKK5BF2,WM Korea,66,66,-1,4,140,C,Major,86,85,73,10,0,12,5
B.Y.S.,51446,keshi,spotify:track:2yyluSgySg95O24RBkgrMR,Island Records,177,177,-1,1,100,A,Major,63,36,65,51,0,26,4
BABYBOO,73791,"TAEW, GAVIN:D",spotify:track:2UPSSGTejc8YFuP1d4HOqy,BEC WORLD,117,117,-1,1,102,F#,Minor,80,87,70,55,0,7,9
BADBOY (feat. Maiyarap),2388385,"LAZYLOXY, Maiyarap",spotify:track:55d8bb7cvNPLjJ81ULlG1H,Yupp! Entertainment,18,18,-1,20,133,A,Minor,88,42,70,25,0,8,51
BAMBOLEO,56435,Red Velvet,spotify:track:0jXneVxiitQZsbtftH7HHJ,SM Entertainment,175,175,-1,1,108,F,Major,65,55,88,3,0,13,5
BAND4BAND (feat. Lil Baby),401602,"Central Cee, Lil Baby",spotify:track:7iabz12vAuVQYyekFIWJxD,Columbia,194,194,-1,2,140,B,Major,89,91,73,30,0,12,21
BATTER UP,3637989,BABYMONSTER,spotify:track:3VBj0lzjmhTzVFPEDOjNCG,YG Entertainment,39,39,-1,15,130,B,Minor,90,87,68,7,0,13,10
BBIBBI,2056772,IU,spotify:track:4as4XEOR03oGm1STUKl6pa,Kakao Entertainment,8,62,-1,61,144,G,Major,84,82,62,24,0,30,33
BBoom BBoom,82110,MOMOLAND,spotify:track:3BPoSr2pO34Aan6alFfVto,"DUBLEKICK COMPANY, Kakao Entertainment",73,180,-1,54,126,D#,Minor,78,83,74,1,1,7,4
BE WITH ME,46374,TREASURE,spotify:track:782NR6j9LjIfZg4BbCcJdl,YG Entertainment,192,192,-1,1,107,A,Major,84,77,41,42,0,16,9
BELIEVE IT,168444,"PARTYNEXTDOOR, Rihanna",spotify:track:4HDCLYli2SUdkq9OjmvhSD,OVO Sound,87,87,-1,3,158,F#,Major,43,73,70,9,0,22,26
BF,7074926,"PUN, URBOYTJ",spotify:track:36zlZYQZQ6QpXwSxnBRAa0,Universal Music (Thailand) Ltd.,55,55,-1,23,97,E,Major,62,42,77,29,0,8,4
BIBI Vengeance,307170,BIBI,spotify:track:0ra3bPUOj2YnY4FJHXtgHZ,Feel Ghood Music/88risingMusic,181,181,-1,3,100,B,Minor,44,41,75,3,0,6,9
BIRDS OF A FEATHER,26998998,Billie Eilish,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,7,7,-1,33,105,D,Major,75,44,51,20,6,12,4
BIRTHDAY,579826,JEON SOMI,spotify:track:3jsWXhE5NuPWQ4IHplv2zt,THEBLACKLABEL,47,47,-1,11,180,G,Major,69,60,84,2,0,4,11
BMF,310426,SZA,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,Top Dawg Entertainment/RCA Records,93,93,-1,1,128,A#,Minor,79,97,55,51,2,9,3
BONA BONA,6904308,TREASURE,spotify:track:32W1dyO4NTHAthKprlz1vd,YG Entertainment,2,2,-1,11,132,F,Minor,72,36,64,3,0,18,5
BONG,186054,"OG BOBBY, VannDa",spotify:track:7BalknaAGYtzUjIGOSkGBr,Hype Train,152,152,-1,2,179,F,Minor,64,83,77,17,0,22,26
BOOM,2711545,NCT DREAM,spotify:track:6rcn967QN5JtkPOBDwYIuT,SM Entertainment,14,14,-1,43,120,F,Minor,91,70,52,13,0,4,9
BOOMBAYAH,1519877,BLACKPINK,spotify:track:1qAPA8TooLVEqAZ58fhcrt,YG Entertainment,54,54,-1,84,125,F,Minor,66,40,84,0,0,50,6
BOX,160138,NCT DREAM,spotify:track:4I95uQMtIwg7779WEDy8Mc,SM Entertainment,190,190,-1,1,99,C#,Minor,73,36,79,23,0,14,7
BOY,1182452,TREASURE,spotify:track:6SqOpxXMMS8axhJoqz8Nel,YG Entertainment,27,27,-1,12,110,F#,Minor,75,69,76,5,0,38,5
BREATHE,236413,AB6IX,spotify:track:4XbyRgWe6yU4wE6WShdTEs,WM Korea,69,69,-1,6,125,A,Minor,82,60,85,6,0,8,21
BTBT (feat. DeVita),798678,"B.I, Soulja Boy, DeVita",spotify:track:0FOBJ5PbwOe5XBY9y0bnhi,IOK x Transparent Arts,86,86,-1,9,110,A,Minor,77,51,66,33,0,12,18
Baby,329441,"Justin Bieber, Ludacris",spotify:track:6epn3r7S14KUqlReYr77hA,RBMG/Def Jam,65,65,-1,4,65,F,Minor,73,54,86,4,0,11,14
"Baby, I'm Jealous (feat. Doja Cat)",224548,"Bebe Rexha, Doja Cat",spotify:track:2fTdRdN73RgIgcUZN33dvt,Warner Records,143,143,-1,4,98,B,Minor,74,51,87,4,0,32,5
Back Door,134364,Stray Kids,spotify:track:3KUGAgxo3b81X5bWoOp0U8,Republic Records - Stray Kids,100,100,-1,2,108,G,Major,82,65,84,16,0,11,27
Back To December (Taylor's Version),141379,Taylor Swift,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,184,184,-1,1,142,D,Major,50,20,64,1,0,12,3
Back To You - From 13 Reasons Why – Season 2 Soundtrack,274537,Selena Gomez,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,UMGRI Interscope,6,113,-1,42,102,F#,Major,60,51,72,9,0,12,5
Back for More (with Anitta),654224,"TOMORROW X TOGETHER, Anitta",spotify:track:6uTPA1xlcsk6dbchB2dhzl,Republic Records - TXT,12,12,-1,1,116,E,Minor,78,89,90,5,0,22,16
