rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3yDRcs0Y4pPzkvMbUfeF9H","LISA","Moonlit Floor (Kiss Me)","Lloud Co./RCA Records",1,1,3,"8181207"
2,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,2,14,"4539486"
3,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",1,4,63,"3016870"
4,"spotify:track:2CspwnypzT7rcWI9RfsoSb","JENNIE","Mantra","OA Entertainment/Columbia",3,3,2,"2703636"
5,"spotify:track:5vNRhkKd0yEAg8suGBpjeY","ROSÉ, Bruno Mars","APT.","Atlantic Records",5,-1,1,"2606350"
6,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,5,50,"2471689"
7,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","SM Entertainment",7,-1,1,"2006731"
8,"spotify:track:7ov3TDp5D00Rnu5R1viX4w","LISA, ROSALÍA","New Woman (feat. ROSALÍA)","Lloud Co./RCA Records",1,7,10,"1668308"
9,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",6,9,10,"1275736"
10,"spotify:track:4pygz13A6EcLL6ti7kqGaf","Jin","Super Tuna","BIGHIT MUSIC",6,6,2,"1123620"
11,"spotify:track:4RiudH8RehvLLrk8uNgIdR","TEN","Nightwalker","SM Entertainment",2,10,37,"1038809"
12,"spotify:track:6BN3iFjclJ4teGlmB3fFvo","Cocktail, Q Flure","Yours Ever","GMM Music Public Company Limited",12,13,3,"1034134"
13,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,12,67,"1026573"
14,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",9,11,22,"981515"
15,"spotify:track:6vvPecFTmWxDfEJ6cYT1wa","LISA","Rockstar","Lloud Co./RCA Records",1,16,17,"903104"
16,"spotify:track:2AdBbeVaEdW731a3FXJAJC","Lipta, Mirrr","อยู่ได้แล้ว","Lipta",16,19,12,"770856"
17,"spotify:track:2a78JDp7YVCyEydtRiHOn7","PUN","I Just Wanna Know","Universal Music (Thailand) Ltd.",12,15,6,"757933"
18,"spotify:track:5F4fAhzhdHtaQ8nNqWAufl","Jeff Satur","เหมือนวิวาห์ (Rain wedding) [From ""วิมานหนาม""]","WM/Thailand",6,14,9,"752481"
19,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,24,56,"721887"
20,"spotify:track:5sjnkOfTLCLNfkkchI2re2","aespa","UP - KARINA Solo","SM Entertainment",8,8,3,"711164"
21,"spotify:track:4kE80JWRissrodmXuo0xYi","THE TOYS, NONT TANONT","ดอกไม้ที่รอฝน (spring)","What The Duck",5,18,14,"656578"
22,"spotify:track:2LJerOY5jSwO5K6OF9Cyuz","Ink Waruntorn","พบรัก","Boxx Music",16,28,15,"614334"
23,"spotify:track:2MuJCv3nCgHYlgOrAvCAT6","fellow fellow","Proud","Kicks Records",8,20,15,"613865"
