track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
เข้าฝัน (In my dreams),419225,Stamp,spotify:track:76NFE0kT6uf20zOpyhXoGJ,123Records,57,57,-1,4
เข้าใจว่าไม่เข้าใจ (INVERTED),692098,Lula,spotify:track:2phhqdmCi0p8XFVFJZ4Tju,GMM Music Public Company Limited,148,148,-1,4
เคยคิดถึงฉันไหมในตอนที่,2237296,ROOFTOP,spotify:track:1cmU1HSgnNZ8UGyhPTvoue,Spicy Disc,54,54,-1,32
เคยเจอที่แย่กว่านี้,423363,Illslick,spotify:track:6NS0RT4vaV03eVrU7mUNrQ,Bang Baht,149,149,-1,2
เคลิ้ม,311883,Slot Machine,spotify:track:3LHC2fDjxIeyzDdSAtlkRK,BEC-TER ENTERTAINMENT PUBLIC COMPANY LIMITED,180,180,-1,4
เคว้ง (เพลงประกอบซีรีส์ เคว้ง),56480,Palmy,spotify:track:71bqkNS4yp2sdop6JiIx6O,GMM Music Public Company Limited,117,117,-1,1
เคียงกัน,118671,"Gun Napat, D Gerrard",spotify:track:2zq7H7SWQC9ldZy1f7e8kC,GMM Music Public Company Limited,96,96,-1,3
เค้ามาก่อน (Lovefool),442037,ATLAS,spotify:track:2vmEX5b6qbFfLNvD8EvULb,"TPOP INCORPORATION Co.,Ltd.",99,99,-1,2
เค้ารักเธอที่สุด (ily),2027271,MEYOU,spotify:track:6WssVwDznRk2o5Qvg4JfaN,MEYOU,103,103,-1,13
เงา (Silhouette),5772796,WANYAi,spotify:track:6yrxuUnWFv72Veb9jphPLL,"HOLYFOX CO., LTD.",124,124,-1,91
เจอกันก็พังห่างกันก็ร้าย (Shhhhh…!),52030,Pearwah,spotify:track:127FdW4XnmqKxRKrxRj2S5,Nadao Music,174,174,-1,1
เจอแต่คนใจร้าย,4828813,"Lipta, Ink Waruntorn",spotify:track:5qsoeqn1bKqJzzmilZVEeG,Lipta,8,8,-1,30
เจ็บจนพอ (Enough),18876044,WANYAi,spotify:track:4prGMvYxnXPsG7xueL4Gc8,"HOLYFOX CO., LTD.",1,1,-1,113
เจ็บจนไม่เข้าใจ,3100929,PORTRAIT,spotify:track:4URCEQmgwuwaHiySIqGmIa,Boxx Music,46,101,-1,143
เจ็บน้อยที่สุด,2869294,Zeal,spotify:track:2YIgU8Tq4tovJ3T2Qw6Ewh,ME Records,12,16,-1,56
เจ็บอยู่ (Hurting),362063,PROXIE,spotify:track:7uCXHh5cdN7H0yY0NmJ7di,Dreamers Society,117,117,-1,2
เจ็บไม่จำ,8237683,O-Pavee,spotify:track:4XGKYVsklvtRYtq4LfYUrr,Boxx Music,35,35,-1,82
เจ็บไม่ต่างกัน,61069,Earth Patravee,spotify:track:7KqWovFFKjm11AfBgjOpJh,Muzik Move Records,133,133,-1,1
เจ้าของที่,56619781,Mirrr,spotify:track:1rNYuv63emsYt4Jjv8RlgJ,What The Duck,10,10,10,148
เจ้าของที่ (My Favorite),245281,Mirrr,spotify:track:09uH61N5f6I6cO97E0iEqB,What The Duck,13,13,-1,1
เฉียบ,82619,"P-Hot, Way-G, Dreamhigh",spotify:track:5N5pLrPxTmGtf2KczjIa81,P-HOT,114,114,-1,3
เชื่อได้มั้ย? (เพลงประกอบละคร นางสาว 18 มงกุฎ),46604,"Kacha Nontanun, Faye Fang Kaew",spotify:track:1FSuKqdbMj0l8jIItYZkvw,GMM Music Public Company Limited,188,188,-1,1
เช้าที่ดวงอาทิตย์ไม่เคยส่องแสง,178733,Bodyslam,spotify:track:2LNrX9ES2w3j4j82EQI14q,GMM Music Public Company Limited,35,35,-1,3
เดคิสุงิ,4963146,Wan Thanakrit,spotify:track:7JhYmekBJcLg4RtTItTf2g,Spicy Disc,14,14,-1,59
เดลิเวอรี่,62260,Labanoon,spotify:track:28nuFIzwqDO5edLuFP3QiZ,GMM Music Public Company Limited,155,155,-1,1
เดอะแบก (Baggage),1519158,Tilly Birds,spotify:track:6bi1KEQMr9oOSBodFj5QD2,GMM Music Public Company Limited,28,28,-1,11
เดาไม่เก่ง,9452719,Three Man Down,spotify:track:0FQuyJ6MTsvGcXQur2EPgk,GMM Music Public Company Limited,13,13,-1,81
เดินมาส่ง - BYE,39324564,"First Anuwat, Saran",spotify:track:7jq0O5rfrzEIqNOsc7v9JT,Marr,11,11,-1,87
เดียวดาย,50394,SPRITE,spotify:track:17g2GSBRKATCGBN2lx7101,True CJ,188,188,-1,1
เดี๋ยวเธอกับเขาก็คืนดีกัน Feat. 3rd Tilly Birds,565302,Copter,spotify:track:7JC59jSvjSbJ2MszeV6fBs,Boxx Music,67,67,-1,9
เด็กอินเตอร์,16642173,YOUNGOHM,spotify:track:6koztzfSaFalbFxpiaFpjk,Youngohm,41,41,-1,80
เด็กเกินไป (Too Young),2615008,Three Man Down,spotify:track:48qHdp4mhFenZIBhejBqGU,GMM Music Public Company Limited,31,31,-1,12
เติบโต (โดยไม่มีเธอ),5097945,"Saran, BlackHeart, DAVIDBOIE",spotify:track:45FSW9JohxF1SMTGWLw8Ue,SARAN,109,109,-1,22
เท เท เท x P-Hot,388651,Oat Pramote,spotify:track:5FORmH2lmOewM6RbC17wJl,GMM Music Public Company Limited,30,30,-1,6
เทคะแนน (CANDIDATE),1828385,FOURTH,spotify:track:4UgAVgYNBahclsbXTbP3Xn,GMM Music Public Company Limited,19,19,-1,6
เทพลีลา,1787106,Silly Fools,spotify:track:224KJQt1pd72n038PCtKKS,ME Records,157,157,-1,9
เทาเทา,154528,Morvasu,spotify:track:1dnDsxeWtaQ5QMRzTcFsIm,What The Duck,83,83,-1,2
เธอกลัวเด็กแร็พ,45978,"Maiyarap, Ben Bizzy",spotify:track:63KUmcU7AldxvnK3CpKhql,Yupp! Entertainment,105,105,-1,1
เธอคือกาแฟในตอนเช้า,14929373,No One Else,spotify:track:4Yg2lUUPVk9oqbR4ubQ6BU,Spicy Disc,29,29,-1,51
เธอทั้งนั้น,748618,Groove Riders,spotify:track:0B8jGlEYFOQT3USwSr5yX3,Spicy Disc,169,169,-1,9
เธอทำให้ฉันไม่มีแฟน,52026,"มิน พีชญา, Bell Supol",spotify:track:3ojNx9FFSc3vLOD8m6bMQS,GMM Music Public Company Limited,158,158,-1,1
เธอบอกว่าฉันไม่ดี,825180,Copter,spotify:track:2ooHblxbeFaencS59zAQPv,Boxx Music,155,155,-1,15
เธอมีคนเดียวบนโลก,193206,NONT TANONT,spotify:track:0Hapry82VHaO7YEIq4hhBm,Loveis Entertainment,62,62,-1,2
เธอมีเขา,98877,Jaonaay,spotify:track:4sgvAunsS7sSd1mGDRmhlJ,Jaymidi,145,145,-1,2
เธอรักเขาตอนเรารักกัน,408546,Bean Napason,spotify:track:5xrO8vzqljv6Fg57eSPBEq,Boxx Music,67,67,-1,6
เธอหมุนรอบฉัน ฉันหมุนรอบเธอ,42989,SCRUBB,spotify:track:2qix3Q8yV16k9D9YI5fjmQ,Scrubb,194,194,-1,1
เธอเหมือนเดือนกุมภา,1883673,fellow fellow,spotify:track:0UdosedsHuO7pFUxOLJNDT,Tero Music,25,25,-1,14
