rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1ccwCCS7YSclzYibpK0DS4","Three Man Down","ฝนตกไหม","GMM Music Public Company Limited",1,1,12,"397984"
2,"spotify:track:41L3O37CECZt3N7ziG2z7l","Justin Bieber","Yummy","RBMG/Def Jam",2,3,5,"375163"
3,"spotify:track:3CYH422oy1cZNoo0GTG1TK","Red Velvet","Psycho","SM Entertainment",1,2,7,"367020"
4,"spotify:track:3JvbGjNcSnAhNemVyvXqci","BOWKYLION","ลงใจ","What The Duck",4,4,11,"364788"
5,"spotify:track:5j9eyp0YnOKzAjQyXXXSeb","GAVIN:D, PUI, VARINZ, Nonny9, Z TRIP, MITEENNN","รักได้ป่าว","Gavin D",4,5,7,"320041"
6,"spotify:track:41H5efMPWK8D8GzDSJ3Y9s","POKMINDSET, DABOYWAY, Younggu, DIAMOND MQT","WIP WUP","Mindset Mob",6,52,4,"312803"
7,"spotify:track:1wl5vs3SCMPpHTIR8IW8nJ","Stamp","แอบดี (How to live without you)","123Records",1,7,15,"280687"
8,"spotify:track:438m0u7h7miwjCdCdDCl9W","THE TOYS","ทิ้งแต่เก็บ (เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ)","GMM Music Public Company Limited",1,6,10,"271057"
9,"spotify:track:7IcfEY0IyV4fdALbwJCw3v","MEYOU","ภาวนา","GMM Music Public Company Limited",1,8,28,"267123"
10,"spotify:track:4Tp1SRCTJ6LO8XA3i9vuAT","GAVIN:D","A Rocket to the Moon","Gavin D",9,9,12,"259584"
11,"spotify:track:4ARB472dmYjpCdWrhE1aMc","COLORPiTCH","หมอก","Khaosan Entertainment",11,38,2,"250623"
12,"spotify:track:7adzBs69Rjtj6194UZRWfm","Indigo","ถ้าฉันเป็นเขา","Move Records",3,10,32,"247957"
13,"spotify:track:1iIhGHzzrzqQfuNkFI2qAn","ZICO","Any song","KOZ ENTERTAINMENT",11,11,3,"232332"
14,"spotify:track:5t2958ghc1UIUovv1pqMl3","Earth Patravee","หวง(you're mine)","Move Records",4,12,23,"224595"
15,"spotify:track:4prGMvYxnXPsG7xueL4Gc8","WANYAi","เจ็บจนพอ (Enough)","HOLYFOX CO., LTD.",1,13,42,"209038"
16,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,14,33,"203065"
17,"spotify:track:4roAXYtyMDQfv9Vz1CPWqg","Indigo","พัง","Muzik Move Records",15,15,9,"202545"
18,"spotify:track:1lD1Pjy7rNDOny7nFqmUHJ","Safeplanet","คำตอบ ( Answer )","Safeplanet",16,16,70,"198108"
19,"spotify:track:1A9I1bdZX61vE5cTaNOz2x","Lipta, KOB FLAT BOY","นี่ฉันเอง","Lipta",3,18,27,"190475"
20,"spotify:track:1kX8eeTe8JSQPj1dQ9MTFa","Zom Marie, LAZYLOXY","รางวัลปลอบใจ","Spicy Disc",11,19,35,"189130"
21,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",6,17,20,"182163"
22,"spotify:track:4XqtyE2i3U1z2rMVcgnYX6","WANYAi, ปู่จ๋าน ลองไมค์","ลืมไป (Blind) [feat. ปู่จ๋าน ลองไมค์]","HOLYFOX CO., LTD.",5,23,36,"171523"
23,"spotify:track:2uiOyiRxtNix52dpeaDQPM","Lauv, LANY","Mean It","Lauv",3,21,12,"171327"
24,"spotify:track:1kUwlk4SqvLEjOk8yFPtUe","WANYAi","หัวหิน (Huahin Loop)","HOLYFOX CO., LTD.",12,24,17,"171318"
25,"spotify:track:24NuEDgyRIljwSyY0lsr7b","BTS","Black Swan","BIGHIT MUSIC",4,20,3,"171007"
26,"spotify:track:78SisrpqN9rYxNwFbpQ7JX","MEAN Band","พอเถอะ","LOVEiS Entertainment",2,25,40,"170138"
27,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",27,40,25,"166014"
28,"spotify:track:0rvNW2zfoFqdz7jHw3VqSQ","Ink Waruntorn","ดีใจด้วยนะ (Glad)","Boxx Music",3,27,49,"161557"
29,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",7,26,23,"157126"
30,"spotify:track:2qlfZhBPWq5FH3FwlZKGws","WANYAi","ไปได้ดี (So Long)","HOLYFOX CO., LTD.",6,29,28,"156957"
31,"spotify:track:41TfjScHItR0d1k1N9tSr6","The Parkinson","แค่นี้...พอ","Spicy Disc",4,30,33,"154950"
32,"spotify:track:696DnlkuDOXcMAnKlTgXXK","Arizona Zervas","ROXANNE","Arizona Zervas",20,28,13,"151899"
33,"spotify:track:1twPdRa1Hm8t0j0kECqZ1n","F.HERO, BamBam","Do You","What The Duck",2,31,17,"150475"
