rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,1,2,"3883237"
2,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,2,18,"1835638"
3,"spotify:track:5h1BN75CEh8wdSwE1xrbSe","V","Slow Dancing","BIGHIT MUSIC",2,3,9,"1689200"
4,"spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew","aespa","Drama","SM Entertainment / Warner Records",4,-1,1,"1643317"
5,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,4,7,"1266151"
6,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment",1,5,114,"1207892"
7,"spotify:track:56wDFSIa9Tr7zbEXUVMwjP","fellow fellow","ดาวหางฮัลเลย์","Kicks Records",3,6,11,"1096408"
8,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,17,34,"1004251"
9,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",2,65,14,"988869"
10,"spotify:track:7uQZVznj0uQOGC9KhV2Mg6","LISA","LALISA","YG Entertainment",1,8,111,"921192"
11,"spotify:track:4UaGQ2D4MBuRBWumZO52Ma","TEN","Paint Me Naked","SM Entertainment",5,7,29,"750905"
12,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",10,21,17,"601958"
13,"spotify:track:69CrOS7vEHIrhC2ILyEi0s","JISOO","FLOWER","YG Entertainment",1,16,33,"539806"
14,"spotify:track:1atD9QMSoZjgKiUKKopZBW","Parkmalody","วาสนาผู้ใด","Parkmalody",14,19,5,"535577"
15,"spotify:track:3y5HhSSAyYGtOkP6mhKs6z","FREEHAND","ขอให้เธอใจดี","Freehand",12,23,17,"527176"
16,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",12,24,59,"519216"
17,"spotify:track:4bnxMt1viexb85sAtVz1dA","MEYOU","วันนี้ปีที่แล้ว","GMM Music Public Company Limited",17,27,11,"509906"
18,"spotify:track:5EtiQveQFQy0R05hLVDyKv","NCT 127","Fact Check","SM Entertainment",4,18,6,"509822"
19,"spotify:track:79S6mQUxOs8ANRmJTS7agU","LANDOKMAI","เพลงรักเพลงแรก - Blooming","What The Duck",18,26,13,"505160"
20,"spotify:track:5DMALWZOGyyc7noptzvF2j","sarah salola","ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3","CHANDELIER MUSIC",10,25,19,"502553"
21,"spotify:track:5Zlwu2g4rzTNfyu28L1bWv","NONT TANONT","รักแรก (First Love) [เพลงประกอบภาพยนตร์ รักแรกโคตรลืมยาก My Precious]","GMM Music Public Company Limited",4,22,26,"484262"
22,"spotify:track:0ZcyX8hFV1jdJNWOI8mMXF","YEW, LANDOKMAI","Summertime","YEW",3,34,84,"483628"
23,"spotify:track:6gcuJpHu0Ey30D5WR76y98","JENNIE","You & Me","YG Entertainment",9,20,6,"479826"
24,"spotify:track:3XCoEJvCYqTbM8bhples8N","Musketeers, Maiyarap","พิจารณา (Consider)","What The Duck",1,30,62,"476018"
25,"spotify:track:3MIVadmVbWGZR0VzNceGt1","QLER","ใจลอย","What The Duck",13,31,32,"458678"
26,"spotify:track:0MJ5wKsPEeihONNfugHGy7","HYBS","Tip Toe","JUICEY",24,29,21,"451217"
27,"spotify:track:5OaXaynJZgklXEwzhouey5","Newery","กลิ่นดอกไม้","LiVE HiGH",2,33,43,"450830"
28,"spotify:track:5BmF05GWZpmm5JZ5p3yMJr","Mirrr","กำแพงหัวใจ","What The Duck",28,37,13,"448102"
29,"spotify:track:2gkVEnpahpE3bQuvGuCpAV","Jung Kook","Yes or No","BIGHIT MUSIC",9,9,2,"423762"
30,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,55,184,"420434"
31,"spotify:track:1mFpMoeZfkIqtqW2AfQ8ba","BLACKPINK","THE GIRLS (BLACKPINK THE GAME OST)","YG Entertainment",3,32,12,"405887"
32,"spotify:track:56n3cbPJeypX5NyqgsmpnZ","Only Monday","บรรยากาศ","GMM Music Public Company Limited",19,36,22,"404761"
33,"spotify:track:4gwYEnoxp8QDqrNwWNsGq9","ปรีชา ปัดภัย","ยื้อ","SERNG MUSiC",17,28,4,"404196"
34,"spotify:track:42TLIkJ2kFSY0WlCBjqzhB","Percy, 4ourYou, GENA DESOUZA","Shall We","dhavision",3,35,15,"400894"
35,"spotify:track:1uJbdRLz38VTAXxhyXRC85","Lower Mansion","เพลงรักในวันลา","Lower Mansion",24,45,32,"399093"
36,"spotify:track:3qMYr2bVu2HpSKrSJ2zj8K","Anatomy Rabbit","แอบหวัง","Anatomy Rabbit",17,43,106,"398651"
37,"spotify:track:3vdZ30MzgeTe5PiJXEmqjr","Three Man Down, feat. ออม TELExTELEXs","ข้างกัน (City)","GMM Music Public Company Limited",15,39,123,"394739"
38,"spotify:track:4bjN59DRXFRxBE1g5ne6B1","Agust D","Haegeum","BIGHIT MUSIC",1,44,30,"392949"
39,"spotify:track:1rNYuv63emsYt4Jjv8RlgJ","Mirrr","เจ้าของที่","What The Duck",10,53,88,"390869"
40,"spotify:track:2gAX00D7NOBKdcKbOXdpFR","TAEYONG","SHALALA","SM Entertainment",7,40,17,"388845"
41,"spotify:track:4rWdiOhPQVk4vKff04obZl","PURPEECH","อาจเป็นเพราะฉันเอง (me.)","MILK!",22,38,32,"386299"
42,"spotify:track:0k0GtcnyQLMiXrdEDbLXmJ","Jung Kook, DJ Snake","Please Don't Change (feat. DJ Snake)","BIGHIT MUSIC",11,11,2,"376721"
43,"spotify:track:7KmY6wBpheP60rFEJPJBqN","DIDIxDADA","จังหวะตกหลุมรัก - Magic Moment","Lit Entertainment",10,47,33,"372088"
44,"spotify:track:2uZ6hKHh0UjZMz0YKzCLT1","Cocktail","ลั่นทม (เพลงประกอบละคร หอมกลิ่นความรัก)","GMM Music Public Company Limited",16,48,13,"370220"
45,"spotify:track:47WfK6QKlLwIOxJaonJ3bA","bamm","ใครเพื่อนแก","Lit Entertainment",16,42,60,"369136"
46,"spotify:track:03Yp2uEOtPGHQ6E9XSjmyv","Pop Pongkool, Da Endorphine","สลักจิต","GMM Music Public Company Limited",7,46,70,"367984"
47,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",47,69,7,"366372"
48,"spotify:track:4Yg2lUUPVk9oqbR4ubQ6BU","No One Else","เธอคือกาแฟในตอนเช้า","Spicy Disc",29,49,17,"366266"
49,"spotify:track:5ONOlTiqymhzwcFjqcIT6E","Jung Kook","Hate You","BIGHIT MUSIC",10,10,2,"365410"
50,"spotify:track:28WUoGt6gycR4gWHdIOkKP","เรนิษรา","ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว)","Reinizra",1,54,51,"360409"
51,"spotify:track:38uarkAk3Y13onWxwj0MIq","Cocktail","ไม่เป็นรอง","GMM Music Public Company Limited",6,50,42,"356364"
52,"spotify:track:7GARzfC1mwhDuk4t9WOACq","j-hope","MORE","BIGHIT MUSIC",2,52,22,"353885"
53,"spotify:track:2Ab1HQjbMcqHY3TkTycrYr","FREEHAND","รสหวาน","Freehand",28,57,53,"350804"
54,"spotify:track:3bNNvJA7hsGw0wSpGkfOBm","Jung Kook","Too Sad to Dance","BIGHIT MUSIC",12,12,2,"345283"
55,"spotify:track:5KfJvZ0PZzRdwFRaTUDAA7","Jung Kook","Somebody","BIGHIT MUSIC",13,13,2,"337878"
56,"spotify:track:06Qo2fYR2KS1F7bL338iVT","Jung Kook, Major Lazer","Closer to You (feat. Major Lazer)","BIGHIT MUSIC",14,14,2,"335315"
