youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
Khalid - Up All Night (Official Audio),KhalidVEVO,2019-11-14T13:00:00Z,11286572,169141,https://www.youtube.com/watch?v=-aOy9P_OAeM,KhalidVEVO
A.FLOW | PRETTYMUCH - Up to You (feat. NCT DREAM),ALiEN,2019-12-13T09:00:11Z,318931,26952,https://www.youtube.com/watch?v=voJzUT_cqwo,ALiEN
[10회] 여러분을 유토피아로 초대할 'Unicorn' ♬Utopia @CREATION MISSION #GirlsPlanet999 | Mnet 211008 방송 [ENG],Mnet K-POP,2021-10-08T12:38:06Z,4563131,97086,https://www.youtube.com/watch?v=q0S91RjzZO0,Mnet K-POP
Tyga - Vacation (Official Video),Tyga,2020-06-19T04:00:09Z,13686440,332307,https://www.youtube.com/watch?v=1n56NTUgod0,Tyga
TAEYANG - 'VIBE (feat. Jimin of BTS)' M/V,THEBLACKLABEL,2023-01-13T05:00:07Z,155804410,0,https://www.youtube.com/watch?v=cXCBiF67jLM,THEBLACKLABEL
K/DA - VILLAIN ft. Madison Beer and Kim Petras (Official Concept Video - Starring Evelynn),League of Legends,2020-11-13T16:00:09Z,104388079,1516036,https://www.youtube.com/watch?v=xoWxv2yZXLQ,League of Legends
4EVE - VROOM VROOM Prod. by URBOYTJ | Official MV,4EVE,2023-12-07T12:00:12Z,14020031,133566,https://www.youtube.com/watch?v=Y0kAhwwjawc,4EVE
"LYRA - ""Vanilla"" [Official Music Video]",LYRAMusicVEVO,2020-11-19T11:00:12Z,3022795,47141,https://www.youtube.com/watch?v=_znt0nJpVOU,LYRAMusicVEVO
YOUNGOHM - Very Very Small (Official Video),YOUNGOHM,2022-10-23T17:00:08Z,99519665,479010,https://www.youtube.com/watch?v=fInw31Xf488,YOUNGOHM
ZAYN - Vibez (Official Video),ZaynVEVO,2021-01-08T17:00:08Z,43039246,1470740,https://www.youtube.com/watch?v=VSpgaN3wuag,ZaynVEVO
영재(Youngjae) - 'Vibin' Official M/V,영재 YOUNGJAE,2021-10-05T09:00:11Z,13031408,411028,https://www.youtube.com/watch?v=_bG7boB0IgI,영재 YOUNGJAE
DIAMOND MQT - Victoria's Secret (Official Audio),DIAMOND MQT,2022-08-25T05:00:12Z,51445813,262336,https://www.youtube.com/watch?v=gigFy7XJbKk,DIAMOND MQT
Taylor Swift - Vigilante Shit (Official Lyric Video),TaylorSwiftVEVO,2022-10-22T00:00:15Z,17437525,248213,https://www.youtube.com/watch?v=Uoey4W_3bos,TaylorSwiftVEVO
IZ*ONE (아이즈원) - 비올레타 (Violeta) MV,Stone Music Entertainment,2019-04-01T09:04:13Z,99675988,1337160,https://www.youtube.com/watch?v=6eEZ7DJMzuk,Stone Music Entertainment
Ed Sheeran - Visiting Hours [Official Performance Video],Ed Sheeran,2021-08-19T13:00:24Z,34596911,448443,https://www.youtube.com/watch?v=t3CoEyYEf4A,Ed Sheeran
"TREASURE 트레저 "" VolKno (CHOI HYUN SUK x YOSHI x HARUTO Unit) "" Lyrics (ColorCoded/ENG/HAN/ROM/가사)",Puno Autopop,2022-10-04T12:06:44Z,482321,11396,https://www.youtube.com/watch?v=FJezFYQ5X_E,Puno Autopop
Volcano,NCT - Topic,2020-10-12T09:03:05Z,2686157,42723,https://www.youtube.com/watch?v=rkaHv5Ck9qo,NCT - Topic
Kep1er 케플러 | ‘WA DA DA’ M/V,Kep1er,2022-01-03T09:00:02Z,178533662,2809306,https://www.youtube.com/watch?v=n0j5NPptyM0,Kep1er
"ITZY ""WANNABE"" M/V @ITZY",JYP Entertainment,2020-03-09T09:00:00Z,555017681,6699439,https://www.youtube.com/watch?v=fE2h3lGlOsk,JYP Entertainment
Cardi B - WAP feat. Megan Thee Stallion [Official Music Video],Cardi B,2020-08-07T04:00:10Z,543192549,9149690,https://www.youtube.com/watch?v=hsm4poTWjMs,Cardi B
BUS 'WATCH YOUR STEP' OFFICIAL MV,TADA LABELS,2024-02-14T11:00:09Z,13755742,150527,https://www.youtube.com/watch?v=Rz4ekn199jU,TADA LABELS
BANG YE DAM of TREASURE - '왜요 (WAYO)' M/V,TREASURE (트레저),2020-06-05T09:00:03Z,35225116,1345368,https://www.youtube.com/watch?v=k-U9YOXG4Qg,TREASURE (트레저)
HONNE - WHAT WOULD YOU DO? (Feat. Pink Sweat$) (Official Video),H O N N E,2021-06-16T13:00:15Z,5939931,81479,https://www.youtube.com/watch?v=62nta49hxg8,H O N N E
JAONAAY - WINK [Official MV],Jaymidichannel,2022-07-07T02:00:09Z,3634300,18095,https://www.youtube.com/watch?v=hXx791JMaqE,Jaymidichannel
[MV] YOUNHA(윤하) _ WINTER FLOWER(雪中梅) (Feat.RM),1theK (원더케이),2020-02-25T09:00:10Z,14447403,648487,https://www.youtube.com/watch?v=OcCkAG_LO9Y,1theK (원더케이)
WIP WUP วิบวับ (Explicit) - POKMINDSET x DABOYWAY x YOUNGGU x Diamond [Official MV],Mindset Mob,2019-12-19T12:13:48Z,314206814,1636853,https://www.youtube.com/watch?v=8fWHnLYh8Lg,Mindset Mob
The Kid LAROI - WITHOUT YOU (Official Video),The Kid LAROI.,2020-12-16T20:00:11Z,136931351,1988368,https://www.youtube.com/watch?v=SJOKlqJho8U,The Kid LAROI.
XG - WOKE UP (Official Music Video),XG,2024-05-21T09:00:09Z,65354942,1345134,https://www.youtube.com/watch?v=5sT20edl02I,XG
TREASURE - ‘WONDERLAND’ TRACK VIDEO,TREASURE (트레저),2023-07-31T09:02:24Z,1188478,32993,https://www.youtube.com/watch?v=oBF0-rJgIXk,TREASURE (트레저)
Wait a Minute!,WILLOW - Topic,2018-07-24T18:34:16Z,306941265,3315252,https://www.youtube.com/watch?v=1Xfdjqa5dfY,WILLOW - Topic
