track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
Dum Dum,7229154,Jeff Satur,spotify:track:6b2nmFsOb2sDumvHLMFLA1,WM/Thailand,44,44,-1,34,dumdum
Die For You (with Ariana Grande) - Remix,7904576,"The Weeknd, Ariana Grande",spotify:track:4W4fNrZYkobj539TOWsLO2,XO / Republic Records,3,6,-1,31,dieforyouwitharianagranderemix
Eastside (with Halsey & Khalid),891327,"benny blanco, Halsey, Khalid",spotify:track:7FGq80cy8juXBCD2nrqdWU,Friends Keep Secrets/Interscope Records,20,81,81,51,eastsidewithhalseykhalid
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",50905,"Nicki Minaj, Anuel AA, Bantu",spotify:track:4Uy3kNxW2kB8AEoXljEcth,Universal Records,120,120,-1,4,familiawithanuelaafeatbantuspidermanintothespiderverse
Enemy (with JID) - from the series Arcane League of Legends,2860398,"Imagine Dragons, JID, Arcane, League of Legends",spotify:track:1r9xUipOqoNwggBpENDsvJ,KIDinaKORNER/Interscope Records,26,26,-1,27,enemywithjidfromtheseriesarcaneleagueoflegends
FRANCHISE (feat. Young Thug & M.I.A.),57489,"Travis Scott, Young Thug, M.I.A.",spotify:track:4jVBIpuOiMj1crqd8LoCrJ,Cactus Jack/Epic,178,178,-1,1,franchisefeatyoungthugmia
Dumb Blonde (feat. Nicki Minaj),27789,"Avril Lavigne, Nicki Minaj",spotify:track:1Spmq0UazGU6ovMIlGldZX,BMG Rights Management (US) LLC,135,135,-1,1,dumbblondefeatnickiminaj
Future Ghost (feat. Violette Wautier),130210,"Weird Genius, Violette Wautier",spotify:track:3LcAn7vLisYcHAnACmLvO1,Astralwerks,109,109,-1,2,futureghostfeatviolettewautier
Fly Up (Feat. Door) - Concert Version,228030,"Hwang Chang young, Door",spotify:track:0M55V4n7l0ULeYP64IcjX7,"Genie Music Corporation, Stone Music Entertainment",137,137,-1,2,flyupfeatdoorconcertversion
Find U Again (feat. Camila Cabello),487262,"Mark Ronson, Camila Cabello",spotify:track:5Uw7Dut2lZfexn3Y09swpf,Columbia,75,75,-1,10,finduagainfeatcamilacabello
Girls Like You (feat. Cardi B) - Cardi B Version,1090696,"Maroon 5, Cardi B",spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Interscope Records*,4,63,63,60,girlslikeyoufeatcardibcardibversion
Giant (with Rag'n'Bone Man),201413,"Calvin Harris, Rag'n'Bone Man",spotify:track:5itOtNx0WxtJmi1TQ3RuRd,Columbia,91,91,-1,7,giantwithragnboneman
HEY HEY (feat. อาภาพร นครสวรรค์),153948,"MILLI, อาภาพร นครสวรรค์",spotify:track:2TJTtCcuOikQ0jSKrtswHI,Yupp! Entertainment/88rising Music,183,183,-1,1,heyheyfeatอาภาพรนครสวรรค์
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,142271,"Travis Scott, ROSALÍA, Lil Baby",spotify:track:7h0d2h0fUmzbs7zeFigJPn,Cactus Jack/Epic,138,138,-1,3,highestintheroomfeatrosalalilbabyremix
Hate Me (with Juice WRLD),111415,"Ellie Goulding, Juice WRLD",spotify:track:6kls8cSlUyHW2BUOkDJIZE,Polydor Records,144,144,-1,3,hatemewithjuicewrld
I Think I'm OKAY (with YUNGBLUD & Travis Barker),71068,"mgk, YUNGBLUD, Travis Barker",spotify:track:2gTdDMpNxIRFSiu7HutMCg,Bad Boy/Interscope Records,172,172,-1,2,ithinkimokaywithyungbludtravisbarker
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),85265,"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj",spotify:track:5N1o6d8zGcSZSeMFkOUQOk,300 Entertainment,136,136,-1,2,hotgirlsummerfeatnickiminajtydollaign
Holy (feat. Chance The Rapper),2675347,"Justin Bieber, Chance the Rapper",spotify:track:6Xgq7MvZiet0hVi3KaDSgJ,RBMG/Def Jam,19,19,-1,21,holyfeatchancetherapper
I Don't Care (with Justin Bieber),4152079,"Ed Sheeran, Justin Bieber",spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Atlantic Records UK,2,2,-1,47,idontcarewithjustinbieber
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",331408,"benny blanco, Selena Gomez, J Balvin, Tainy",spotify:track:1WSGTYKLEpKfNQYYW5Oymt,NEON16/Friends Keep Secrets/Interscope Records,57,57,-1,8,icantgetenoughbennyblancoselenagomezjbalvintainy
I’m Ready (with Demi Lovato),166418,"Sam Smith, Demi Lovato",spotify:track:1fipvP2zmef6vN2IwXfJhY,PLG - Capitol,106,106,-1,3,imreadywithdemilovato
Leave Before You Love Me (with Jonas Brothers),526061,"Marshmello, Jonas Brothers",spotify:track:4qu63nuBpdn0qHUHuObEj1,Republic Records,117,117,-1,10,leavebeforeyoulovemewithjonasbrothers
"Let Me Go (with Alesso, Florida Georgia Line & watt)",140484,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",spotify:track:5Gu0PDLN4YJeW75PpBSg9p,Universal Records,16,170,-1,41,letmegowithalessofloridageorgialinewatt
Love Message (เพลงประกอบละคร รักฉุดใจนายฉุกเฉิน),836041,"ซันนี่ สุวรรณเมธานนท์, สกาย วงศ์รวี",spotify:track:6F9yDb4e33URT8BaO3Gw6s,GMM Music Public Company Limited,67,67,-1,13,lovemessageเพลงประกอบละครรักฉุดใจนายฉุกเฉิน
Lie To Me (feat. Julia Michaels),238052,"5 Seconds of Summer, Julia Michaels",spotify:track:6GzApXoBQiiAjak3tOQfV3,Capitol,67,67,-1,7,lietomefeatjuliamichaels
