track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
ทะเลสีดำ (เพลงประกอบละคร แปลรักฉันด้วยใจเธอ Part 2),173246,"Billkin, PP Krit",spotify:track:4d3ZN68omv7xoexu5wglUD,GMM Music Public Company Limited,67,67,-1,2,ทะเลสีดำเพลงประกอบละครแปลรักฉันด้วยใจเธอpart2
"ทั้งจำทั้งปรับ (Jailhouse rap) feat. YOUNGOHM, KARN The Parkinson",3564516,Stamp,spotify:track:1Wuq5oThaFJmFl2vJNYMKD,123Records,7,7,-1,37,ทั้งจำทั้งปรับjailhouserapfeatyoungohmkarntheparkinson
ภาพเรา (Good Quality Picture) - From บัส ซิ่ง ไทยแลนด์,739043,BUS,spotify:track:7gdRZLMXECnJ8HnZYm5N23,SONRAY MUSIC,50,50,-1,2,ภาพเราgoodqualitypicturefromบัสซิ่งไทยแลนด์
น้อง (Nong),8287518,"Three Man Down, URBOYTJ",spotify:track:0unRRE5iY2faIR2HV2aGpF,GMM Music Public Company Limited,13,13,-1,31,น้องnong
ภูเขาบังเส้นผม (Hide you) feat. TWOPEE,3769447,Stamp,spotify:track:5kHLmBd3GTMIFhWdD3berA,123Records,6,50,-1,109,ภูเขาบังเส้นผมhideyoufeattwopee
น่ารักชิบปุ๋ง Feat.SPRITE,447543,bonnadol,spotify:track:6I3Y2cxdvLVZeLRVoB3aVG,Bonnadol,113,113,-1,4,น่ารักชิบปุ๋งfeatsprite
พิง (เพลงประกอบละคร กระเช้าสีดา),35570001,NONT TANONT,spotify:track:6MjLHdROTcaU22k7B6gxR6,GMM Music Public Company Limited,2,2,-1,133,พิงเพลงประกอบละครกระเช้าสีดา
รักติดไซเรน (My Ambulance) - From รักฉุดใจนายฉุกเฉิน Original Soundtrack,9550647,"Ice Paris, Pearwah",spotify:track:0vIvE2RgjnMpUQn875C4Vz,Nadao Music,1,1,-1,66,รักติดไซเรนmyambulancefromรักฉุดใจนายฉุกเฉินoriginalsoundtrack
รักแรก (First Love) [เพลงประกอบภาพยนตร์ รักแรกโคตรลืมยาก My Precious],35963506,NONT TANONT,spotify:track:5Zlwu2g4rzTNfyu28L1bWv,GMM Music Public Company Limited,4,4,-1,72,รักแรกfirstloveเพลงประกอบภาพยนตร์รักแรกโคตรลืมยากmyprecious
"มันดีกว่าที่คิด - จาก ""ละคร อกเกือบหักแอบรักคุณสามี""",5117802,Singto Numchok,spotify:track:3U2vJ9B0vutk3kLqLGkvQn,Bec World Public Company Limited,12,12,-1,33,มันดีกว่าที่คิดจากละครอกเกือบหักแอบรักคุณสามี
รักเอ๋ย (เพลงจากละคร พนมนาคา),5025643,Bird Thongchai,spotify:track:4p326fEVOplgTi21gnb6CH,GMM Music Public Company Limited,53,53,-1,22,รักเอ๋ยเพลงจากละครพนมนาคา
สุดใจ (feat. Keng Tachaya),1317517,"Maiyarap, Keng Tachaya",spotify:track:23YIgLVPlRRzLj1yttUvWU,Yupp! Entertainment,68,68,-1,11,สุดใจfeatkengtachaya
สองใจ (เพลงประกอบภาพยนตร์ วอน(เธอ)),740112,MEYOU,spotify:track:5gJd2XWfQSLvJnyQYeKfaq,GMM Music Public Company Limited,152,152,-1,15,สองใจเพลงประกอบภาพยนตร์วอนเธอ
หน้าที่ของความรัก(Mission) Feat. เล็ก พงษธร,49542,Pause,spotify:track:4SeC84Av9mcpn7TZq3WWpv,ME Records,184,184,-1,1,หน้าที่ของความรักmissionfeatเล็กพงษธร
ลั่นทม (เพลงประกอบละคร หอมกลิ่นความรัก),12347435,Cocktail,spotify:track:2uZ6hKHh0UjZMz0YKzCLT1,GMM Music Public Company Limited,16,16,-1,35,ลั่นทมเพลงประกอบละครหอมกลิ่นความรัก
สองใจ (เพลงประกอบละคร วันทอง),6660940,Da Endorphine,spotify:track:5sXuqzLmT1z6Gnf3S2TzSz,GMM Music Public Company Limited,4,4,-1,29,สองใจเพลงประกอบละครวันทอง
วังวน(BOXX FROM HOME),4942665,SERIOUS BACON,spotify:track:3o4erj1cYrVQFUNcKAYZoH,Boxx Music,39,39,-1,51,วังวนboxxfromhome
หนังเรื่องเดิม,244209,MEAN Band,spotify:track:2J5rVEKnz8FQnh3SgWp7eN,LOVEiS Entertainment,98,98,-1,4,หนังเรื่องเดิม
วันนั้นฝนก็ตกแบบนี้แหละ (rainy day) feat. Fongbeer,993236,"MEAN Band, Fongbeer",spotify:track:6k0JjaYoanpJ0lpzPMrBmB,LOVEiS Entertainment,117,171,-1,16,วันนั้นฝนก็ตกแบบนี้แหละrainydayfeatfongbeer
ลอยทะเล (Original by Joey Boy) (feat. NARA THEPNUPA & GUYGEEGEE),216498,"CDGuntee, NARA THEPNUPA, GUYGEEGEE",spotify:track:3lEKVsTevzcoffF6uSudZe,Sony Music Entertainment Thailand,175,175,-1,1,ลอยทะเลoriginalbyjoeyboyfeatnarathepnupaguygeegee
เก็บความรู้สึกเก่ง (Invisible Tears) / Boys Don't Cry,47732,Tay Tawan,spotify:track:5ybBwHoTgTAwKkVJ8PIzw1,GMM Music Public Company Limited,192,192,-1,1,เก็บความรู้สึกเก่งinvisibletearsboysdontcry
เก็บไว้ในใจไม่พอ (feat. Three Man Down),4346322,"Maiyarap, Three Man Down",spotify:track:0hdVaCnCS5d5puPAN2tQ25,Yupp! Entertainment,29,29,-1,54,เก็บไว้ในใจไม่พอfeatthreemandown
อย่าเกลียดกันก็พอ feat. Maiyarap,59867,"Lipta, MAIYARAP",spotify:track:6HhV2BG5IrreyQoGo9Dxa6,Tero Music,138,138,-1,1,อย่าเกลียดกันก็พอfeatmaiyarap
หลงกล - Rock Quest Project,1177059,LHAM,spotify:track:6XBuq06PRjuIGbJjf7DqGm,RS MUSIC,159,159,-1,7,หลงกลrockquestproject
"หัวใจสั่งให้รัก - จาก ""ละคร อกเกือบหักแอบรักคุณสามี""",100805,แพรว คณิตกุล,spotify:track:43F823Bzv4zE9z1IYSM7nQ,Bec World Public Company Limited,168,168,-1,2,หัวใจสั่งให้รักจากละครอกเกือบหักแอบรักคุณสามี
"อยู่ในใจฉัน (จาก ""ละคร นางสาวไม่จำกัดนามสกุล"")",109379,TOR Saksit,spotify:track:2L76QuQlyxW5f8AmJlQOi6,BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,69,69,-1,3,อยู่ในใจฉันจากละครนางสาวไม่จำกัดนามสกุล
เก็บทรงไม่อยู่ Feat. DIAMOND MQT,231086,VANGOE,spotify:track:7CpMg7gQbWottldcXuoFQv,EXP ENTERTAINMENT,73,73,-1,3,เก็บทรงไม่อยู่featdiamondmqt
เลือดพ่อแรง (feat. คุณพ่อดิเรก) [With คุณพ่อ],76419,"Maiyarap, คุณพ่อดิเรก",spotify:track:26Tog7ysmQSnEnp64mme2H,Yupp! Entertainment,155,155,-1,2,เลือดพ่อแรงfeatคุณพ่อดิเรกwithคุณพ่อ
เริ่มต้นใหม่ (Alive) [feat. พงษ์สิทธิ์ คำภีร์],157973,"WANYAi, Pongsit Kampee",spotify:track:6lA7TQsr76b3vPkYpO2EiX,"HOLYFOX CO., LTD.",89,89,-1,2,เริ่มต้นใหม่alivefeatพงษ์สิทธิ์คำภีร์
เท เท เท x P-Hot,388651,Oat Pramote,spotify:track:5FORmH2lmOewM6RbC17wJl,GMM Music Public Company Limited,30,30,-1,6,เทเทเทxphot
เพลงที่เพิ่งเขียนจบ (OUR SONG) [เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES],239588,NANON,spotify:track:5vSNZkeesxul81fmuuZd2n,GMM Music Public Company Limited,80,80,-1,3,เพลงที่เพิ่งเขียนจบoursongเพลงประกอบซีรีส์แค่เพื่อนครับเพื่อนbadbuddyseries
เพลงรัก (Hook) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),3492194,GEMINI,spotify:track:3IPNXwdcnW8WSMvUPl66hI,GMM Music Public Company Limited,65,65,-1,19,เพลงรักhookเพลงประกอบซีรีส์แฟนผมเป็นประธานนักเรียนmyschoolpresident
เชื่อได้มั้ย? (เพลงประกอบละคร นางสาว 18 มงกุฎ),46604,"Kacha Nontanun, Faye Fang Kaew",spotify:track:1FSuKqdbMj0l8jIItYZkvw,GMM Music Public Company Limited,188,188,-1,1,เชื่อได้มั้ยเพลงประกอบละครนางสาว18มงกุฎ
เดี๋ยวเธอกับเขาก็คืนดีกัน Feat. 3rd Tilly Birds,565302,Copter,spotify:track:7JC59jSvjSbJ2MszeV6fBs,Boxx Music,67,67,-1,9,เดี๋ยวเธอกับเขาก็คืนดีกันfeat3rdtillybirds
แฟนใหม่หน้าคุ้น (feat. MILLI),28633896,"Maiyarap, MILLI",spotify:track:29E8BUUDQbc5S7jMPOj9wW,Yupp! Entertainment,1,1,-1,157,แฟนใหม่หน้าคุ้นfeatmilli
ใจผูกเจ็บ (HEARTROCKER) - Rock Version,187665,"ToNy_gospel, HEARTROCKER",spotify:track:5RR9RhZDLTKp4XNsTZsV9o,YGG-Music,109,109,-1,3,ใจผูกเจ็บheartrockerrockversion
"ใจความสำคัญ - From ""รักหมดแก้ว Love on the Rocks""",8601448,Musketeers,spotify:track:1QVDZtpOnbu9nt8qzzRPqY,Tigger Twins,99,99,-1,58,ใจความสำคัญfromรักหมดแก้วloveontherocks
แค่เพื่อนมั้ง (Just Friend?) [เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES],221173,NANON,spotify:track:03jBontbv2DkRxsgLU8H4x,GMM Music Public Company Limited,167,167,-1,4,แค่เพื่อนมั้งjustfriendเพลงประกอบซีรีส์แค่เพื่อนครับเพื่อนbadbuddyseries
"โดดดิด่ง - From ""ไทบ้าน x BNK48 จากใจผู้สาวคนนี้""",277573,BNK48,spotify:track:3y7OjUQToZCM0fdgHHeyHZ,BNK48 Office,45,45,-1,3,โดดดิด่งfromไทบ้านxbnk48จากใจผู้สาวคนนี้
ไม่อยากให้กลับ x Hollaphonic,28198,Peck Palitchoke,spotify:track:77ilNpIjv9gZu8zUb3l4uv,GMM Music Public Company Limited,140,140,-1,1,ไม่อยากให้กลับxhollaphonic
ไรเฟิร์น(Remix),135633,Rifle,spotify:track:0BGDICShhuh19ZxzzeOpNc,HURRIKANEZ RECORD,199,199,-1,1,ไรเฟิร์นremix
ในฐานะอะไรก็ได้ Feat. P-HOT,140503,Sirpoppa,spotify:track:6O1IJD0n3FJ56P1F09VpmF,ME Records,81,81,-1,3,ในฐานะอะไรก็ได้featphot
ไม่สนิทอย่าทัก feat. Chilling Sunday,595880,"fellow fellow, Chilling Sunday",spotify:track:3uQfQMt9GEXhAZLVGtubcv,BEC-TERO ENTERTAINMENT PUBLIC COMPANY LIMITED,51,51,-1,8,ไม่สนิทอย่าทักfeatchillingsunday
